week,day,hour,visits,day_number
1,1,hour_0,9.867562380038388,1
1,1,hour_1,9.867562380038388,1
1,1,hour_2,9.867562380038388,1
1,1,hour_3,12.715930902111324,1
1,1,hour_4,12.715930902111324,1
1,1,hour_5,25.83877159309021,1
1,1,hour_6,39.266794625719776,1
1,1,hour_7,44.25143953934741,1
1,1,hour_8,34.79078694817659,1
1,1,hour_9,47.50671785028791,1
1,1,hour_10,35.19769673704415,1
1,1,hour_11,54.932821497120926,1
1,1,hour_12,43.94625719769674,1
1,1,hour_13,61.6468330134357,1
1,1,hour_14,66.73320537428023,1
1,1,hour_15,68.56429942418427,1
1,1,hour_16,103.15163147792707,1
1,1,hour_17,60.83301343570058,1
1,1,hour_18,68.46257197696737,1
1,1,hour_19,42.2168905950096,1
1,1,hour_20,25.940499040307103,1
1,1,hour_21,22.583493282149714,1
1,1,hour_22,9.867562380038388,1
1,1,hour_23,9.867562380038388,1
1,2,hour_0,2.5599808061420344,2
1,2,hour_1,2.5599808061420344,2
1,2,hour_2,2.5599808061420344,2
1,2,hour_3,3.2989443378119003,2
1,2,hour_4,3.2989443378119003,2
1,2,hour_5,6.703454894433781,2
1,2,hour_6,10.187140115163148,2
1,2,hour_7,11.480326295585414,2
1,2,hour_8,9.025911708253359,2
1,2,hour_9,12.324856046065259,2
1,2,hour_10,9.13147792706334,2
1,2,hour_11,14.251439539347409,2
1,2,hour_12,11.401151631477926,2
1,2,hour_13,15.993282149712092,2
1,2,hour_14,17.312859884836854,2
1,2,hour_15,17.787907869481767,2
1,2,hour_16,26.761036468330136,2
1,2,hour_17,15.782149712092131,2
1,2,hour_18,17.76151631477927,2
1,2,hour_19,10.952495201535509,2
1,2,hour_20,6.729846449136277,2
1,2,hour_21,5.858925143953935,2
1,2,hour_22,2.5599808061420344,2
1,2,hour_23,2.5599808061420344,2
1,3,hour_0,1.210172744721689,3
1,3,hour_1,1.210172744721689,3
1,3,hour_2,1.210172744721689,3
1,3,hour_3,1.5595009596928981,3
1,3,hour_4,1.5595009596928981,3
1,3,hour_5,3.168905950095969,3
1,3,hour_6,4.815738963531669,3
1,3,hour_7,5.427063339731285,3
1,3,hour_8,4.266794625719769,3
1,3,hour_9,5.826295585412668,3
1,3,hour_10,4.316698656429942,3
1,3,hour_11,6.737044145873321,3
1,3,hour_12,5.389635316698656,3
1,3,hour_13,7.56046065259117,3
1,3,hour_14,8.18426103646833,3
1,3,hour_15,8.408829174664106,3
1,3,hour_16,12.65067178502879,3
1,3,hour_17,7.460652591170825,3
1,3,hour_18,8.396353166986565,3
1,3,hour_19,5.177543186180422,3
1,3,hour_20,3.1813819577735125,3
1,3,hour_21,2.769673704414587,3
1,3,hour_22,1.210172744721689,3
1,3,hour_23,1.210172744721689,3
1,4,hour_0,4.8639635316698655,4
1,4,hour_1,4.8639635316698655,4
1,4,hour_2,4.8639635316698655,4
1,4,hour_3,6.26799424184261,4
1,4,hour_4,6.26799424184261,4
1,4,hour_5,12.736564299424183,4
1,4,hour_6,19.35556621880998,4
1,4,hour_7,21.81261996161228,4
1,4,hour_8,17.149232245681382,4
1,4,hour_9,23.41722648752399,4
1,4,hour_10,17.349808061420344,4
1,4,hour_11,27.077735124760075,4
1,4,hour_12,21.66218809980806,4
1,4,hour_13,30.387236084452972,4
1,4,hour_14,32.89443378119002,4
1,4,hour_15,33.797024952015356,4
1,4,hour_16,50.84596928982725,4
1,4,hour_17,29.986084452975046,4
1,4,hour_18,33.74688099808061,4
1,4,hour_19,20.809740882917467,4
1,4,hour_20,12.786708253358924,4
1,4,hour_21,11.131957773512475,4
1,4,hour_22,4.8639635316698655,4
1,4,hour_23,4.8639635316698655,4
1,5,hour_0,2.117802303262956,5
1,5,hour_1,2.117802303262956,5
1,5,hour_2,2.117802303262956,5
1,5,hour_3,2.729126679462572,5
1,5,hour_4,2.729126679462572,5
1,5,hour_5,5.545585412667946,5
1,5,hour_6,8.427543186180422,5
1,5,hour_7,9.49736084452975,5
1,5,hour_8,7.4668905950095965,5
1,5,hour_9,10.196017274472169,5
1,5,hour_10,7.554222648752399,5
1,5,hour_11,11.78982725527831,5
1,5,hour_12,9.431861804222649,5
1,5,hour_13,13.230806142034549,5
1,5,hour_14,14.322456813819578,5
1,5,hour_15,14.715451055662188,5
1,5,hour_16,22.13867562380038,5
1,5,hour_17,13.056142034548945,5
1,5,hour_18,14.693618042226486,5
1,5,hour_19,9.060700575815739,5
1,5,hour_20,5.567418426103647,5
1,5,hour_21,4.846928982725528,5
1,5,hour_22,2.117802303262956,5
1,5,hour_23,2.117802303262956,5
1,6,hour_0,20.433301343570058,6
1,6,hour_1,20.433301343570058,6
1,6,hour_2,20.433301343570058,6
1,6,hour_3,26.331573896353166,6
1,6,hour_4,26.331573896353166,6
1,6,hour_5,53.505758157389636,6
1,6,hour_6,81.31190019193858,6
1,6,hour_7,91.63387715930902,6
1,6,hour_8,72.04318618042227,6
1,6,hour_9,98.37476007677543,6
1,6,hour_10,72.88579654510556,6
1,6,hour_11,113.75239923224568,6
1,6,hour_12,91.00191938579654,6
1,6,hour_13,127.65547024952015,6
1,6,hour_14,138.18809980806142,6
1,6,hour_15,141.97984644913626,6
1,6,hour_16,213.6017274472169,6
1,6,hour_17,125.97024952015354,6
1,6,hour_18,141.76919385796543,6
1,6,hour_19,87.42082533589252,6
1,6,hour_20,53.716410748560456,6
1,6,hour_21,46.76487523992322,6
1,6,hour_22,20.433301343570058,6
1,6,hour_23,20.433301343570058,6
1,7,hour_0,55.94721689059501,7
