week,day,hour,visits,day_number
1,1,hour_0,14.334055971620025,1
1,1,hour_1,10.708711076074103,1
1,1,hour_2,5.242806464327947,1
1,1,hour_3,5.242806464327947,1
1,1,hour_4,5.242806464327947,1
1,1,hour_5,5.242806464327947,1
1,1,hour_6,5.242806464327947,1
1,1,hour_7,5.242806464327947,1
1,1,hour_8,8.700827749310209,1
1,1,hour_9,5.242806464327947,1
1,1,hour_10,5.242806464327947,1
1,1,hour_11,18.349822625147812,1
1,1,hour_12,25.656286953094206,1
1,1,hour_13,41.32893180922349,1
1,1,hour_14,73.06464327946394,1
1,1,hour_15,60.29227433977138,1
1,1,hour_16,91.5817895151754,1
1,1,hour_17,83.43870713441072,1
1,1,hour_18,64.69846275128104,1
1,1,hour_19,43.89456050453291,1
1,1,hour_20,23.4253054789121,1
1,1,hour_21,6.692944422546315,1
1,1,hour_22,5.242806464327947,1
1,1,hour_23,8.868151359873867,1
1,2,hour_0,9.724871895940087,2
1,2,hour_1,7.2652739456050455,2
1,2,hour_2,3.5569570358691367,2
1,2,hour_3,3.5569570358691367,2
1,2,hour_4,3.5569570358691367,2
1,2,hour_5,3.5569570358691367,2
1,2,hour_6,3.5569570358691367,2
1,2,hour_7,3.5569570358691367,2
1,2,hour_8,5.903035080804099,2
1,2,hour_9,3.5569570358691367,2
1,2,hour_10,3.5569570358691367,2
1,2,hour_11,12.449349625541979,2
1,2,hour_12,17.406385494678755,2
1,2,hour_13,28.03941663381947,2
1,2,hour_14,49.57035869136776,2
1,2,hour_15,40.90500591249507,2
1,2,hour_16,62.13322822230981,2
1,2,hour_17,56.60859282617264,2
1,2,hour_18,43.89436342136381,2
1,2,hour_19,29.780055183287345,2
1,2,hour_20,15.892786756011036,2
1,2,hour_21,4.540796216003153,2
1,2,hour_22,3.5569570358691367,2
1,2,hour_23,6.016554986204178,2
1,3,hour_0,9.218368151359874,3
1,3,hour_1,6.886874260938116,3
1,3,hour_2,3.371698856917619,3
1,3,hour_3,3.371698856917619,3
1,3,hour_4,3.371698856917619,3
1,3,hour_5,3.371698856917619,3
1,3,hour_6,3.371698856917619,3
1,3,hour_7,3.371698856917619,3
1,3,hour_8,5.595585337012219,3
1,3,hour_9,3.371698856917619,3
1,3,hour_10,3.371698856917619,3
1,3,hour_11,11.800945999211667,3
1,3,hour_12,16.4998029168309,3
1,3,hour_13,26.57903035080804,3
1,3,hour_14,46.98856917619235,3
1,3,hour_15,38.77453685455262,3
1,3,hour_16,58.897122585731175,3
1,3,hour_17,53.660228616476154,3
1,3,hour_18,41.60819865983445,3
1,3,hour_19,28.22901064249113,3
1,3,hour_20,15.065037445802128,3
1,3,hour_21,4.304296413086322,3
1,3,hour_22,3.371698856917619,3
1,3,hour_23,5.703192747339377,3
1,4,hour_0,18.791288923925897,4
1,4,hour_1,14.038628301143083,4
1,4,hour_2,6.873078439101301,4
1,4,hour_3,6.873078439101301,4
1,4,hour_4,6.873078439101301,4
1,4,hour_5,6.873078439101301,4
1,4,hour_6,6.873078439101301,4
1,4,hour_7,6.873078439101301,4
1,4,hour_8,11.406385494678755,4
1,4,hour_9,6.873078439101301,4
1,4,hour_10,6.873078439101301,4
1,4,hour_11,24.055774536854553,4
1,4,hour_12,33.6342136381553,4
1,4,hour_13,54.180331099724086,4
1,4,hour_14,95.7843910130075,4
1,4,hour_15,79.04040204966496,4
1,4,hour_16,120.05951911706741,4
1,4,hour_17,109.38431217973985,4
1,4,hour_18,84.81671265273945,4
1,4,hour_19,57.54375246353962,4
1,4,hour_20,30.709499408750496,4
1,4,hour_21,8.774142688214427,4
1,4,hour_22,6.873078439101301,4
1,4,hour_23,11.625739061884115,4
1,5,hour_0,18.18348443042964,5
1,5,hour_1,13.584548679542767,5
1,5,hour_2,6.65076862435948,5
1,5,hour_3,6.65076862435948,5
1,5,hour_4,6.65076862435948,5
1,5,hour_5,6.65076862435948,5
1,5,hour_6,6.65076862435948,5
1,5,hour_7,6.65076862435948,5
1,5,hour_8,11.037445802128499,5
1,5,hour_9,6.65076862435948,5
1,5,hour_10,6.65076862435948,5
1,5,hour_11,23.27769018525818,5
1,5,hour_12,32.54631454473788,5
1,5,hour_13,52.427867560110364,5
1,5,hour_14,92.686243594797,5
1,5,hour_15,76.48383918013401,5
1,5,hour_16,116.17619235317304,5
1,5,hour_17,105.84627512810405,5
1,5,hour_18,82.07331493890422,5
1,5,hour_19,55.68249901458415,5
1,5,hour_20,29.7162002364998,5
1,5,hour_21,8.490342924714229,5
1,5,hour_22,6.65076862435948,5
1,5,hour_23,11.249704375246354,5
1,6,hour_0,73.0378399684667,6
1,6,hour_1,54.56523452897123,6
1,6,hour_2,26.71422940480883,6
1,6,hour_3,26.71422940480883,6
1,6,hour_4,26.71422940480883,6
1,6,hour_5,26.71422940480883,6
1,6,hour_6,26.71422940480883,6
1,6,hour_7,26.71422940480883,6
1,6,hour_8,44.33425305478912,6
1,6,hour_9,26.71422940480883,6
1,6,hour_10,26.71422940480883,6
1,6,hour_11,93.4998029168309,6
1,6,hour_12,130.72920772566025,6
1,6,hour_13,210.58770201024834,6
1,6,hour_14,372.29404808829327,6
1,6,hour_15,307.21363815530157,6
1,6,hour_16,466.64643279463934,6
1,6,hour_17,425.15411903823417,6
1,6,hour_18,329.6649586125345,6
1,6,hour_19,223.66062278281436,6
1,6,hour_20,119.36145053212456,6
1,6,hour_21,34.103271580607014,6
1,6,hour_22,26.71422940480883,6
1,6,hour_23,45.1868348443043,6
1,7,hour_0,113.71009065825778,7
1,7,hour_1,84.95072920772566,7
1,7,hour_2,41.59046117461568,7
1,7,hour_3,41.59046117461568,7
1,7,hour_4,41.59046117461568,7
1,7,hour_5,41.59046117461568,7
1,7,hour_6,41.59046117461568,7
1,7,hour_7,41.59046117461568,7
1,7,hour_8,69.02246748127709,7
1,7,hour_9,41.59046117461568,7
1,7,hour_10,41.59046117461568,7
1,7,hour_11,145.5666141111549,7
1,7,hour_12,203.52778872684272,7
1,7,hour_13,327.85672053606623,7
1,7,hour_14,579.6117461568782,7
1,7,hour_15,478.2903035080804,7
1,7,hour_16,726.5057154119038,7
1,7,hour_17,661.9077650768625,7
1,7,hour_18,513.2439889633425,7
1,7,hour_19,348.2094994087505,7
1,7,hour_20,185.82972014189988,7
1,7,hour_21,53.094205754828536,7
1,7,hour_22,41.59046117461568,7
1,7,hour_23,70.34982262514781,7
2,1,hour_0,4.60058915265985,8
2,1,hour_1,0.0,8
2,1,hour_2,0.0,8
2,1,hour_3,0.0,8
2,1,hour_4,11.041413966383642,8
2,1,hour_5,11.041413966383642,8
2,1,hour_6,34.22838329578929,8
2,1,hour_7,30.363888407555017,8
2,1,hour_8,75.63368566972795,8
2,1,hour_9,98.26858430081441,8
2,1,hour_10,111.70230462658118,8
2,1,hour_11,170.22179864841448,8
2,1,hour_12,265.91405302373937,8
2,1,hour_13,284.86848033269797,8
2,1,hour_14,348.7246577716167,8
2,1,hour_15,654.2037775082308,8
2,1,hour_16,625.3120776295269,8
2,1,hour_17,557.9594524345868,8
2,1,hour_18,413.1329059088546,8
2,1,hour_19,195.06498007277767,8
2,1,hour_20,102.68514988736787,8
2,1,hour_21,44.90175012996014,8
2,1,hour_22,12.3295789291284,8
2,1,hour_23,16.930168081788253,8
2,2,hour_0,4.620083174493155,9
2,2,hour_1,0.0,9
2,2,hour_2,0.0,9
2,2,hour_3,0.0,9
2,2,hour_4,11.088199618783573,9
2,2,hour_5,11.088199618783573,9
2,2,hour_6,34.37341881822908,9
2,2,hour_7,30.492548951654825,9
2,2,hour_8,75.95416738866747,9
2,2,hour_9,98.6849766071738,9
2,2,hour_10,112.17561947669381,9
2,2,hour_11,170.94307745624675,9
2,2,hour_12,267.04080748570436,9
2,2,hour_13,286.0755501646162,9
2,2,hour_14,350.20230462658117,9
2,2,hour_15,656.9758274129267,9
2,2,hour_16,627.9617050771096,9
2,2,hour_17,560.3236874025299,9
2,2,hour_18,414.88346906948533,9
2,2,hour_19,195.89152659850978,9
2,2,hour_20,103.12025645468722,9
2,2,hour_21,45.092011783053195,9
2,2,hour_22,12.381822907641656,9
2,2,hour_23,17.001906082134813,9
2,3,hour_0,1.6418298388494197,10
2,3,hour_1,0.0,10
2,3,hour_2,0.0,10
2,3,hour_3,0.0,10
2,3,hour_4,3.940391613238607,10
2,3,hour_5,3.940391613238607,10
2,3,hour_6,12.215214001039682,10
2,3,hour_7,10.836076936406169,10
2,3,hour_8,26.99168255068446,10
2,3,hour_9,35.0694853578236,10
2,3,hour_10,39.86362848726391,10
2,3,hour_11,60.74770403742853,10
2,3,hour_12,94.89776468549645,10
2,3,hour_13,101.66210362155607,10
2,3,hour_14,124.450701784786,10
2,3,hour_15,233.46820308438748,10
2,3,hour_16,223.1575116964131,10
2,3,hour_17,199.1211228556576,10
2,3,hour_18,147.43631952867787,10
2,3,hour_19,69.61358516721539,10
2,3,hour_20,36.64564200311904,10
2,3,hour_21,16.024259227170337,10
2,3,hour_22,4.400103968116444,10
2,3,hour_23,6.041933806965864,10
2,4,hour_0,1.0505111765725177,11
2,4,hour_1,0.0,11
2,4,hour_2,0.0,11
2,4,hour_3,0.0,11
2,4,hour_4,2.5212268237740423,11
2,4,hour_5,2.5212268237740423,11
2,4,hour_6,7.815803153699532,11
2,4,hour_7,6.933373765378617,11
2,4,hour_8,17.270403742852192,11
2,4,hour_9,22.438918731588977,11
2,4,hour_10,25.50641136718073,11
2,4,hour_11,38.868913533183154,11
2,4,hour_12,60.71954600589152,11
2,4,hour_13,65.0476520533703,11
2,4,hour_14,79.62874718419684,11
2,4,hour_15,149.38268930861202,11
2,4,hour_16,142.7854791197366,11
2,4,hour_17,127.40599549471494,11
2,4,hour_18,94.3359036562121,11
2,4,hour_19,44.54167388667475,11
2,4,hour_20,23.447409461098594,11
2,4,hour_21,10.252989083347773,11
2,4,hour_22,2.8153699532143475,11
2,4,hour_23,3.865881129786865,11
2,5,hour_0,1.1544792930168082,12
2,5,hour_1,0.0,12
2,5,hour_2,0.0,12
2,5,hour_3,0.0,12
2,5,hour_4,2.7707503032403396,12
2,5,hour_5,2.7707503032403396,12
2,5,hour_6,8.589325940045052,12
2,5,hour_7,7.619563333910934,12
2,5,hour_8,18.979639577196327,12
2,5,hour_9,24.659677698839022,12
2,5,hour_10,28.030757234448103,12
2,5,hour_11,42.7157338416219,12
2,5,hour_12,66.72890313637151,12
2,5,hour_13,71.48535782360076,12
2,5,hour_14,87.50953041067406,12
2,5,hour_15,164.16695546699012,12
2,5,hour_16,156.91682550684456,12
2,5,hour_17,140.0152486570785,12
2,5,hour_18,103.67224051290937,12
2,5,hour_19,48.94992202391266,12
2,5,hour_20,25.767977820135158,12
2,5,hour_21,11.267717899844047,12
2,5,hour_22,3.094004505285046,12
2,5,hour_23,4.248483798301854,12
2,6,hour_0,1.1739733148501126,13
2,6,hour_1,0.0,13
2,6,hour_2,0.0,13
2,6,hour_3,0.0,13
2,6,hour_4,2.8175359556402704,13
2,6,hour_5,2.8175359556402704,13
2,6,hour_6,8.734361462484838,13
2,6,hour_7,7.7482238780107435,13
2,6,hour_8,19.300121296135853,13
2,6,hour_9,25.076070005198407,13
2,6,hour_10,28.504072084560736,13
2,6,hour_11,43.43701264945417,13
2,6,hour_12,67.8556575983365,13
2,6,hour_13,72.69242765551898,13
2,6,hour_14,88.98717726563854,13
2,6,hour_15,166.93900537168602,13
