week,day,hour,visits,day_number
1,1,hour_0,34.684,1
1,1,hour_1,27.209,1
1,1,hour_2,3.1395,1
1,1,hour_3,3.1395,1
1,1,hour_4,3.1395,1
1,1,hour_5,3.1395,1
1,1,hour_6,9.568,1
1,1,hour_7,36.25375,1
1,1,hour_8,29.7505,1
1,1,hour_9,85.215,1
1,1,hour_10,142.7725,1
1,1,hour_11,190.9115,1
1,1,hour_12,222.08225,1
1,1,hour_13,223.87625,1
1,1,hour_14,300.9435,1
1,1,hour_15,293.02,1
1,1,hour_16,300.27074999999996,1
1,1,hour_17,277.99525,1
1,1,hour_18,359.62225,1
1,1,hour_19,249.59025,1
1,1,hour_20,99.866,1
1,1,hour_21,62.491,1
1,1,hour_22,53.894749999999995,1
1,1,hour_23,41.262,1
1,2,hour_0,12.093,2
1,2,hour_1,9.486749999999999,2
1,2,hour_2,1.094625,2
1,2,hour_3,1.094625,2
1,2,hour_4,1.094625,2
1,2,hour_5,1.094625,2
1,2,hour_6,3.336,2
1,2,hour_7,12.6403125,2
1,2,hour_8,10.372874999999999,2
1,2,hour_9,29.71125,2
1,2,hour_10,49.779374999999995,2
1,2,hour_11,66.563625,2
1,2,hour_12,77.4316875,2
1,2,hour_13,78.0571875,2
1,2,hour_14,104.92762499999999,2
1,2,hour_15,102.16499999999999,2
1,2,hour_16,104.6930625,2
1,2,hour_17,96.92643749999999,2
1,2,hour_18,125.3866875,2
1,2,hour_19,87.02268749999999,2
1,2,hour_20,34.8195,2
1,2,hour_21,21.788249999999998,2
1,2,hour_22,18.7910625,2
1,2,hour_23,14.3865,2
1,3,hour_0,9.975999999999999,3
1,3,hour_1,7.826,3
1,3,hour_2,0.9029999999999999,3
1,3,hour_3,0.9029999999999999,3
1,3,hour_4,0.9029999999999999,3
1,3,hour_5,0.9029999999999999,3
1,3,hour_6,2.752,3
1,3,hour_7,10.427499999999998,3
1,3,hour_8,8.556999999999999,3
1,3,hour_9,24.509999999999998,3
1,3,hour_10,41.065,3
1,3,hour_11,54.910999999999994,3
1,3,hour_12,63.87649999999999,3
1,3,hour_13,64.3925,3
1,3,hour_14,86.559,3
1,3,hour_15,84.27999999999999,3
1,3,hour_16,86.3655,3
1,3,hour_17,79.95849999999999,3
1,3,hour_18,103.4365,3
1,3,hour_19,71.7885,3
1,3,hour_20,28.723999999999997,3
1,3,hour_21,17.974,3
1,3,hour_22,15.501499999999998,3
1,3,hour_23,11.867999999999999,3
1,4,hour_0,33.611000000000004,4
1,4,hour_1,26.367250000000002,4
1,4,hour_2,3.0423750000000003,4
1,4,hour_3,3.0423750000000003,4
1,4,hour_4,3.0423750000000003,4
1,4,hour_5,3.0423750000000003,4
1,4,hour_6,9.272,4
1,4,hour_7,35.1321875,4
1,4,hour_8,28.830125000000002,4
1,4,hour_9,82.57875,4
1,4,hour_10,138.355625,4
1,4,hour_11,185.00537500000002,4
1,4,hour_12,215.2118125,4
1,4,hour_13,216.9503125,4
1,4,hour_14,291.633375,4
1,4,hour_15,283.955,4
1,4,hour_16,290.9814375,4
1,4,hour_17,269.3950625,4
1,4,hour_18,348.49681250000003,4
1,4,hour_19,241.86881250000002,4
1,4,hour_20,96.7765,4
1,4,hour_21,60.55775,4
1,4,hour_22,52.2274375,4
1,4,hour_23,39.9855,4
1,5,hour_0,54.114000000000004,5
1,5,hour_1,42.4515,5
1,5,hour_2,4.89825,5
1,5,hour_3,4.89825,5
1,5,hour_4,4.89825,5
1,5,hour_5,4.89825,5
1,5,hour_6,14.928,5
1,5,hour_7,56.56312500000001,5
1,5,hour_8,46.41675,5
1,5,hour_9,132.95250000000001,5
1,5,hour_10,222.75375000000003,5
1,5,hour_11,297.86025,5
1,5,hour_12,346.492875,5
1,5,hour_13,349.291875,5
1,5,hour_14,469.53225000000003,5
1,5,hour_15,457.17,5
1,5,hour_16,468.48262500000004,5
1,5,hour_17,433.728375,5
1,5,hour_18,561.0828750000001,5
1,5,hour_19,389.41087500000003,5
1,5,hour_20,155.811,5
1,5,hour_21,97.4985,5
1,5,hour_22,84.086625,5
1,5,hour_23,64.37700000000001,5
1,6,hour_0,108.80799999999999,6
1,6,hour_1,85.35799999999999,6
1,6,hour_2,9.849,6
1,6,hour_3,9.849,6
1,6,hour_4,9.849,6
1,6,hour_5,9.849,6
1,6,hour_6,30.016,6
1,6,hour_7,113.73249999999999,6
1,6,hour_8,93.33099999999999,6
1,6,hour_9,267.33,6
1,6,hour_10,447.895,6
1,6,hour_11,598.913,6
1,6,hour_12,696.6995,6
1,6,hour_13,702.3275,6
1,6,hour_14,944.097,6
1,6,hour_15,919.2399999999999,6
1,6,hour_16,941.9865,6
1,6,hour_17,872.1054999999999,6
1,6,hour_18,1128.1795,6
1,6,hour_19,782.9955,6
1,6,hour_20,313.292,6
1,6,hour_21,196.042,6
1,6,hour_22,169.0745,6
1,6,hour_23,129.444,6
1,7,hour_0,210.714,7
1,7,hour_1,165.3015,7
1,7,hour_2,19.07325,7
1,7,hour_3,19.07325,7
1,7,hour_4,19.07325,7
1,7,hour_5,19.07325,7
1,7,hour_6,58.128,7
1,7,hour_7,220.250625,7
1,7,hour_8,180.74175,7
1,7,hour_9,517.7025,7
1,7,hour_10,867.37875,7
1,7,hour_11,1159.83525,7
1,7,hour_12,1349.205375,7
1,7,hour_13,1360.104375,7
1,7,hour_14,1828.30725,7
1,7,hour_15,1780.17,7
1,7,hour_16,1824.220125,7
1,7,hour_17,1688.890875,7
1,7,hour_18,2184.795375,7
1,7,hour_19,1516.323375,7
1,7,hour_20,606.711,7
1,7,hour_21,379.6485,7
1,7,hour_22,327.424125,7
1,7,hour_23,250.677,7
2,1,hour_0,43.54370576229971,8
2,1,hour_1,26.09831082548091,8
2,1,hour_2,31.680837205262925,8
2,1,hour_3,11.862868557036778,8
2,1,hour_4,7.2572842937166175,8
2,1,hour_5,13.398063311476832,8
2,1,hour_6,22.469668678622604,8
2,1,hour_7,39.77550045594685,8
2,1,hour_8,123.23426983368795,8
2,1,hour_9,187.01463372269745,8
2,1,hour_10,248.9806765382778,8
2,1,hour_11,356.0256198705979,8
2,1,hour_12,550.576664206001,8
2,1,hour_13,606.2623648443266,8
2,1,hour_14,816.4444830431195,8
2,1,hour_15,963.1253636718919,8
2,1,hour_16,910.2309262234573,8
2,1,hour_17,776.3898562681835,8
2,1,hour_18,778.3437405011073,8
2,1,hour_19,654.5512180294411,8
2,1,hour_20,352.81566720222327,8
2,1,hour_21,192.4575969429849,8
2,1,hour_22,130.49155412740456,8
2,1,hour_23,69.50245342828607,8
2,2,hour_0,41.768900082504665,9
2,2,hour_1,25.034565113552475,9
2,2,hour_2,30.389552303617176,9
2,2,hour_3,11.379347778887489,9
2,2,hour_4,6.961483347084111,9
2,2,hour_5,12.851969256155282,9
2,2,hour_6,21.55382344001042,9
2,2,hour_7,38.154283729210995,9
2,2,hour_8,118.21134222067826,9
2,2,hour_9,179.39207086716746,9
2,2,hour_10,238.83242867688566,9
2,2,hour_11,341.5143080463763,9
2,2,hour_12,528.135611620131,9
2,2,hour_13,581.5516088410265,9
2,2,hour_14,783.1668765469625,9
2,2,hour_15,923.8691649659124,9
2,2,hour_16,873.1306613400494,9
2,2,hour_17,744.7448434582483,9
2,2,hour_18,746.6190889747709,9
2,2,hour_19,627.8722480350862,9
2,2,hour_20,338.43519041208907,9
2,2,hour_21,184.61318337748054,9
2,2,hour_22,125.17282556776237,9
2,2,hour_23,66.66959051630552,9
2,3,hour_0,48.719093317121896,10
2,3,hour_1,29.20022580224934,10
2,3,hour_2,35.44626340700856,10
2,3,hour_3,13.272829910113336,10
2,3,hour_4,8.119848886186983,10
2,3,hour_5,14.99049025142212,10
2,3,hour_6,25.14030135915585,10
2,3,hour_7,44.50301793390942,10
2,3,hour_8,137.8812801250597,10
2,3,hour_9,209.24225975943378,10
2,3,hour_10,278.5732771722611,10
2,3,hour_11,398.3410482435191,10
2,3,hour_12,616.0154587693778,10
2,3,hour_13,678.319683876851,10
2,3,hour_14,913.4829996960354,10
2,3,hour_15,1077.597637761084,10
2,3,hour_16,1018.4164314559903,10
2,3,hour_17,868.6676798818881,10
2,3,hour_18,870.8537930435539,10
2,3,hour_19,732.3479091580182,10
2,3,hour_20,394.74957662078253,10
2,3,hour_21,215.332146424074,10
2,3,hour_22,146.0011290112467,10
2,3,hour_23,77.76316817925225,10
2,4,hour_0,7.0450301793390935,11
2,4,hour_1,4.222502062616701,11
