hour,visits,week_start,week_end
0,25,2024-04-01,2024-04-07
1,25,2024-04-01,2024-04-07
2,25,2024-04-01,2024-04-07
3,0,2024-04-01,2024-04-07
4,0,2024-04-01,2024-04-07
5,0,2024-04-01,2024-04-07
6,15,2024-04-01,2024-04-07
7,26,2024-04-01,2024-04-07
8,234,2024-04-01,2024-04-07
9,503,2024-04-01,2024-04-07
10,838,2024-04-01,2024-04-07
11,720,2024-04-01,2024-04-07
12,818,2024-04-01,2024-04-07
13,1100,2024-04-01,2024-04-07
14,1119,2024-04-01,2024-04-07
15,1371,2024-04-01,2024-04-07
16,1092,2024-04-01,2024-04-07
17,946,2024-04-01,2024-04-07
18,1129,2024-04-01,2024-04-07
19,724,2024-04-01,2024-04-07
20,382,2024-04-01,2024-04-07
21,138,2024-04-01,2024-04-07
22,139,2024-04-01,2024-04-07
23,51,2024-04-01,2024-04-07
0,0,2024-04-08,2024-04-14
1,0,2024-04-08,2024-04-14
2,25,2024-04-08,2024-04-14
3,25,2024-04-08,2024-04-14
4,0,2024-04-08,2024-04-14
5,0,2024-04-08,2024-04-14
6,0,2024-04-08,2024-04-14
7,67,2024-04-08,2024-04-14
8,549,2024-04-08,2024-04-14
9,855,2024-04-08,2024-04-14
10,1032,2024-04-08,2024-04-14
11,1682,2024-04-08,2024-04-14
12,2131,2024-04-08,2024-04-14
13,2669,2024-04-08,2024-04-14
14,3553,2024-04-08,2024-04-14
15,5341,2024-04-08,2024-04-14
16,5806,2024-04-08,2024-04-14
17,5694,2024-04-08,2024-04-14
18,4486,2024-04-08,2024-04-14
19,3023,2024-04-08,2024-04-14
20,937,2024-04-08,2024-04-14
21,102,2024-04-08,2024-04-14
22,0,2024-04-08,2024-04-14
23,0,2024-04-08,2024-04-14
0,0,2024-04-15,2024-04-21
1,0,2024-04-15,2024-04-21
2,0,2024-04-15,2024-04-21
3,0,2024-04-15,2024-04-21
4,0,2024-04-15,2024-04-21
5,0,2024-04-15,2024-04-21
6,0,2024-04-15,2024-04-21
7,174,2024-04-15,2024-04-21
8,403,2024-04-15,2024-04-21
9,451,2024-04-15,2024-04-21
10,788,2024-04-15,2024-04-21
11,929,2024-04-15,2024-04-21
12,1141,2024-04-15,2024-04-21
13,959,2024-04-15,2024-04-21
14,1812,2024-04-15,2024-04-21
15,2225,2024-04-15,2024-04-21
16,2820,2024-04-15,2024-04-21
17,2928,2024-04-15,2024-04-21
18,2696,2024-04-15,2024-04-21
19,1906,2024-04-15,2024-04-21
20,904,2024-04-15,2024-04-21
21,72,2024-04-15,2024-04-21
22,0,2024-04-15,2024-04-21
23,0,2024-04-15,2024-04-21
0,28,2024-04-22,2024-04-28
1,83,2024-04-22,2024-04-28
2,88,2024-04-22,2024-04-28
3,28,2024-04-22,2024-04-28
4,28,2024-04-22,2024-04-28
5,28,2024-04-22,2024-04-28
6,44,2024-04-22,2024-04-28
7,145,2024-04-22,2024-04-28
8,683,2024-04-22,2024-04-28
9,785,2024-04-22,2024-04-28
10,1227,2024-04-22,2024-04-28
11,2075,2024-04-22,2024-04-28
12,1906,2024-04-22,2024-04-28
13,3155,2024-04-22,2024-04-28
14,4409,2024-04-22,2024-04-28
15,4194,2024-04-22,2024-04-28
16,5485,2024-04-22,2024-04-28
17,5246,2024-04-22,2024-04-28
18,5177,2024-04-22,2024-04-28
19,3409,2024-04-22,2024-04-28
20,1368,2024-04-22,2024-04-28
21,452,2024-04-22,2024-04-28
22,123,2024-04-22,2024-04-28
23,47,2024-04-22,2024-04-28
0,42,2024-04-29,2024-05-05
1,42,2024-04-29,2024-05-05
2,42,2024-04-29,2024-05-05
3,90,2024-04-29,2024-05-05
4,90,2024-04-29,2024-05-05
5,42,2024-04-29,2024-05-05
6,58,2024-04-29,2024-05-05
7,58,2024-04-29,2024-05-05
8,296,2024-04-29,2024-05-05
9,532,2024-04-29,2024-05-05
10,969,2024-04-29,2024-05-05
11,1126,2024-04-29,2024-05-05
12,1290,2024-04-29,2024-05-05
13,1649,2024-04-29,2024-05-05
14,2377,2024-04-29,2024-05-05
15,3374,2024-04-29,2024-05-05
16,3112,2024-04-29,2024-05-05
17,3707,2024-04-29,2024-05-05
18,3423,2024-04-29,2024-05-05
19,2393,2024-04-29,2024-05-05
20,1391,2024-04-29,2024-05-05
21,428,2024-04-29,2024-05-05
22,94,2024-04-29,2024-05-05
23,80,2024-04-29,2024-05-05
0,0,2024-05-06,2024-05-12
1,0,2024-05-06,2024-05-12
2,0,2024-05-06,2024-05-12
3,24,2024-05-06,2024-05-12
4,24,2024-05-06,2024-05-12
5,0,2024-05-06,2024-05-12
6,43,2024-05-06,2024-05-12
7,437,2024-05-06,2024-05-12
8,1097,2024-05-06,2024-05-12
9,1163,2024-05-06,2024-05-12
10,924,2024-05-06,2024-05-12
11,1263,2024-05-06,2024-05-12
12,2021,2024-05-06,2024-05-12
13,2227,2024-05-06,2024-05-12
14,2857,2024-05-06,2024-05-12
15,3214,2024-05-06,2024-05-12
16,3379,2024-05-06,2024-05-12
17,3431,2024-05-06,2024-05-12
18,2478,2024-05-06,2024-05-12
19,2081,2024-05-06,2024-05-12
20,1214,2024-05-06,2024-05-12
21,528,2024-05-06,2024-05-12
22,128,2024-05-06,2024-05-12
23,15,2024-05-06,2024-05-12
0,56,2024-05-13,2024-05-19
1,0,2024-05-13,2024-05-19
2,0,2024-05-13,2024-05-19
3,0,2024-05-13,2024-05-19
4,0,2024-05-13,2024-05-19
5,30,2024-05-13,2024-05-19
6,53,2024-05-13,2024-05-19
7,159,2024-05-13,2024-05-19
8,446,2024-05-13,2024-05-19
9,757,2024-05-13,2024-05-19
10,1054,2024-05-13,2024-05-19
11,1252,2024-05-13,2024-05-19
