hour,visits,week_start,week_end
0,205,2024-04-15,2024-04-21
1,72,2024-04-15,2024-04-21
2,18,2024-04-15,2024-04-21
3,44,2024-04-15,2024-04-21
4,26,2024-04-15,2024-04-21
5,107,2024-04-15,2024-04-21
6,107,2024-04-15,2024-04-21
7,401,2024-04-15,2024-04-21
8,425,2024-04-15,2024-04-21
9,137,2024-04-15,2024-04-21
10,158,2024-04-15,2024-04-21
11,180,2024-04-15,2024-04-21
12,455,2024-04-15,2024-04-21
13,326,2024-04-15,2024-04-21
14,305,2024-04-15,2024-04-21
15,492,2024-04-15,2024-04-21
16,452,2024-04-15,2024-04-21
17,757,2024-04-15,2024-04-21
18,491,2024-04-15,2024-04-21
19,242,2024-04-15,2024-04-21
20,526,2024-04-15,2024-04-21
21,501,2024-04-15,2024-04-21
22,199,2024-04-15,2024-04-21
23,211,2024-04-15,2024-04-21
0,399,2024-04-22,2024-04-28
1,179,2024-04-22,2024-04-28
2,100,2024-04-22,2024-04-28
3,100,2024-04-22,2024-04-28
4,59,2024-04-22,2024-04-28
5,59,2024-04-22,2024-04-28
6,59,2024-04-22,2024-04-28
7,489,2024-04-22,2024-04-28
8,603,2024-04-22,2024-04-28
9,339,2024-04-22,2024-04-28
10,401,2024-04-22,2024-04-28
11,415,2024-04-22,2024-04-28
12,756,2024-04-22,2024-04-28
13,605,2024-04-22,2024-04-28
14,628,2024-04-22,2024-04-28
15,648,2024-04-22,2024-04-28
16,461,2024-04-22,2024-04-28
17,579,2024-04-22,2024-04-28
18,834,2024-04-22,2024-04-28
19,939,2024-04-22,2024-04-28
20,556,2024-04-22,2024-04-28
21,346,2024-04-22,2024-04-28
22,345,2024-04-22,2024-04-28
23,496,2024-04-22,2024-04-28
0,314,2024-04-29,2024-05-05
1,35,2024-04-29,2024-05-05
2,0,2024-04-29,2024-05-05
3,0,2024-04-29,2024-05-05
4,0,2024-04-29,2024-05-05
5,107,2024-04-29,2024-05-05
6,140,2024-04-29,2024-05-05
7,381,2024-04-29,2024-05-05
8,393,2024-04-29,2024-05-05
9,178,2024-04-29,2024-05-05
10,160,2024-04-29,2024-05-05
11,192,2024-04-29,2024-05-05
12,256,2024-04-29,2024-05-05
13,223,2024-04-29,2024-05-05
14,559,2024-04-29,2024-05-05
15,713,2024-04-29,2024-05-05
16,631,2024-04-29,2024-05-05
17,1085,2024-04-29,2024-05-05
18,1910,2024-04-29,2024-05-05
19,1818,2024-04-29,2024-05-05
20,35,2024-04-29,2024-05-05
21,0,2024-04-29,2024-05-05
22,656,2024-04-29,2024-05-05
23,1300,2024-04-29,2024-05-05
0,545,2024-05-06,2024-05-12
1,560,2024-05-06,2024-05-12
2,0,2024-05-06,2024-05-12
3,51,2024-05-06,2024-05-12
4,343,2024-05-06,2024-05-12
5,38,2024-05-06,2024-05-12
6,214,2024-05-06,2024-05-12
7,542,2024-05-06,2024-05-12
8,802,2024-05-06,2024-05-12
9,1350,2024-05-06,2024-05-12
10,1415,2024-05-06,2024-05-12
11,497,2024-05-06,2024-05-12
12,745,2024-05-06,2024-05-12
13,824,2024-05-06,2024-05-12
14,1616,2024-05-06,2024-05-12
15,855,2024-05-06,2024-05-12
16,663,2024-05-06,2024-05-12
17,1182,2024-05-06,2024-05-12
18,866,2024-05-06,2024-05-12
19,622,2024-05-06,2024-05-12
20,525,2024-05-06,2024-05-12
21,727,2024-05-06,2024-05-12
22,285,2024-05-06,2024-05-12
23,396,2024-05-06,2024-05-12
0,508,2024-05-13,2024-05-19
1,129,2024-05-13,2024-05-19
2,68,2024-05-13,2024-05-19
3,44,2024-05-13,2024-05-19
4,44,2024-05-13,2024-05-19
5,252,2024-05-13,2024-05-19
6,354,2024-05-13,2024-05-19
7,607,2024-05-13,2024-05-19
8,1025,2024-05-13,2024-05-19
9,1035,2024-05-13,2024-05-19
10,465,2024-05-13,2024-05-19
11,654,2024-05-13,2024-05-19
12,1085,2024-05-13,2024-05-19
13,1891,2024-05-13,2024-05-19
14,914,2024-05-13,2024-05-19
15,624,2024-05-13,2024-05-19
16,979,2024-05-13,2024-05-19
17,1299,2024-05-13,2024-05-19
