hour,visits,week_start,week_end
0,464,2024-04-01,2024-04-07
1,364,2024-04-01,2024-04-07
2,42,2024-04-01,2024-04-07
3,42,2024-04-01,2024-04-07
4,42,2024-04-01,2024-04-07
5,42,2024-04-01,2024-04-07
6,128,2024-04-01,2024-04-07
7,485,2024-04-01,2024-04-07
8,398,2024-04-01,2024-04-07
9,1140,2024-04-01,2024-04-07
10,1910,2024-04-01,2024-04-07
11,2554,2024-04-01,2024-04-07
12,2971,2024-04-01,2024-04-07
13,2995,2024-04-01,2024-04-07
14,4026,2024-04-01,2024-04-07
15,3920,2024-04-01,2024-04-07
16,4017,2024-04-01,2024-04-07
17,3719,2024-04-01,2024-04-07
18,4811,2024-04-01,2024-04-07
19,3339,2024-04-01,2024-04-07
20,1336,2024-04-01,2024-04-07
21,836,2024-04-01,2024-04-07
22,721,2024-04-01,2024-04-07
23,552,2024-04-01,2024-04-07
0,312,2024-04-08,2024-04-14
1,187,2024-04-08,2024-04-14
2,227,2024-04-08,2024-04-14
3,85,2024-04-08,2024-04-14
4,52,2024-04-08,2024-04-14
5,96,2024-04-08,2024-04-14
6,161,2024-04-08,2024-04-14
7,285,2024-04-08,2024-04-14
8,883,2024-04-08,2024-04-14
9,1340,2024-04-08,2024-04-14
10,1784,2024-04-08,2024-04-14
11,2551,2024-04-08,2024-04-14
12,3945,2024-04-08,2024-04-14
13,4344,2024-04-08,2024-04-14
14,5850,2024-04-08,2024-04-14
15,6901,2024-04-08,2024-04-14
16,6522,2024-04-08,2024-04-14
17,5563,2024-04-08,2024-04-14
18,5577,2024-04-08,2024-04-14
19,4690,2024-04-08,2024-04-14
20,2528,2024-04-08,2024-04-14
21,1379,2024-04-08,2024-04-14
22,935,2024-04-08,2024-04-14
23,498,2024-04-08,2024-04-14
0,348,2024-04-15,2024-04-21
1,115,2024-04-15,2024-04-21
2,28,2024-04-15,2024-04-21
3,28,2024-04-15,2024-04-21
4,28,2024-04-15,2024-04-21
5,74,2024-04-15,2024-04-21
6,74,2024-04-15,2024-04-21
7,244,2024-04-15,2024-04-21
8,476,2024-04-15,2024-04-21
9,783,2024-04-15,2024-04-21
10,1768,2024-04-15,2024-04-21
11,2714,2024-04-15,2024-04-21
12,2935,2024-04-15,2024-04-21
13,3640,2024-04-15,2024-04-21
14,4134,2024-04-15,2024-04-21
15,5801,2024-04-15,2024-04-21
16,6480,2024-04-15,2024-04-21
17,9214,2024-04-15,2024-04-21
18,9730,2024-04-15,2024-04-21
19,8666,2024-04-15,2024-04-21
20,5061,2024-04-15,2024-04-21
21,2216,2024-04-15,2024-04-21
22,1244,2024-04-15,2024-04-21
23,772,2024-04-15,2024-04-21
0,706,2024-04-22,2024-04-28
1,260,2024-04-22,2024-04-28
2,85,2024-04-22,2024-04-28
3,42,2024-04-22,2024-04-28
4,42,2024-04-22,2024-04-28
5,87,2024-04-22,2024-04-28
6,69,2024-04-22,2024-04-28
7,436,2024-04-22,2024-04-28
8,564,2024-04-22,2024-04-28
9,805,2024-04-22,2024-04-28
10,1839,2024-04-22,2024-04-28
11,3083,2024-04-22,2024-04-28
12,4585,2024-04-22,2024-04-28
13,6225,2024-04-22,2024-04-28
14,8043,2024-04-22,2024-04-28
15,8735,2024-04-22,2024-04-28
16,9845,2024-04-22,2024-04-28
17,10728,2024-04-22,2024-04-28
18,9249,2024-04-22,2024-04-28
19,6752,2024-04-22,2024-04-28
20,4082,2024-04-22,2024-04-28
21,1792,2024-04-22,2024-04-28
22,1103,2024-04-22,2024-04-28
23,708,2024-04-22,2024-04-28
0,614,2024-04-29,2024-05-05
1,242,2024-04-29,2024-05-05
2,163,2024-04-29,2024-05-05
3,122,2024-04-29,2024-05-05
4,77,2024-04-29,2024-05-05
5,258,2024-04-29,2024-05-05
6,332,2024-04-29,2024-05-05
7,809,2024-04-29,2024-05-05
8,2617,2024-04-29,2024-05-05
9,1890,2024-04-29,2024-05-05
10,1946,2024-04-29,2024-05-05
11,2900,2024-04-29,2024-05-05
12,3095,2024-04-29,2024-05-05
13,3128,2024-04-29,2024-05-05
14,4115,2024-04-29,2024-05-05
15,4530,2024-04-29,2024-05-05
16,5533,2024-04-29,2024-05-05
17,5819,2024-04-29,2024-05-05
18,6232,2024-04-29,2024-05-05
19,6193,2024-04-29,2024-05-05
20,3122,2024-04-29,2024-05-05
21,1400,2024-04-29,2024-05-05
22,1168,2024-04-29,2024-05-05
23,860,2024-04-29,2024-05-05
0,305,2024-05-06,2024-05-12
1,86,2024-05-06,2024-05-12
