hour,visits,week_start,week_end
0,90,2024-04-01,2024-04-07
1,49,2024-04-01,2024-04-07
2,49,2024-04-01,2024-04-07
3,49,2024-04-01,2024-04-07
4,0,2024-04-01,2024-04-07
5,0,2024-04-01,2024-04-07
6,150,2024-04-01,2024-04-07
7,545,2024-04-01,2024-04-07
8,1172,2024-04-01,2024-04-07
9,1402,2024-04-01,2024-04-07
10,1896,2024-04-01,2024-04-07
11,3549,2024-04-01,2024-04-07
12,4695,2024-04-01,2024-04-07
13,4914,2024-04-01,2024-04-07
14,5519,2024-04-01,2024-04-07
15,6898,2024-04-01,2024-04-07
16,8769,2024-04-01,2024-04-07
17,9839,2024-04-01,2024-04-07
18,9076,2024-04-01,2024-04-07
19,6552,2024-04-01,2024-04-07
20,2035,2024-04-01,2024-04-07
21,528,2024-04-01,2024-04-07
22,39,2024-04-01,2024-04-07
23,105,2024-04-01,2024-04-07
0,122,2024-04-08,2024-04-14
1,83,2024-04-08,2024-04-14
2,83,2024-04-08,2024-04-14
3,83,2024-04-08,2024-04-14
4,83,2024-04-08,2024-04-14
5,83,2024-04-08,2024-04-14
6,462,2024-04-08,2024-04-14
7,738,2024-04-08,2024-04-14
8,2226,2024-04-08,2024-04-14
9,3228,2024-04-08,2024-04-14
10,3768,2024-04-08,2024-04-14
11,4923,2024-04-08,2024-04-14
12,5743,2024-04-08,2024-04-14
13,6361,2024-04-08,2024-04-14
14,7650,2024-04-08,2024-04-14
15,10843,2024-04-08,2024-04-14
16,13833,2024-04-08,2024-04-14
17,14134,2024-04-08,2024-04-14
18,13064,2024-04-08,2024-04-14
19,8552,2024-04-08,2024-04-14
20,4016,2024-04-08,2024-04-14
21,1229,2024-04-08,2024-04-14
22,277,2024-04-08,2024-04-14
23,175,2024-04-08,2024-04-14
0,88,2024-04-15,2024-04-21
1,88,2024-04-15,2024-04-21
2,102,2024-04-15,2024-04-21
3,88,2024-04-15,2024-04-21
4,88,2024-04-15,2024-04-21
5,88,2024-04-15,2024-04-21
6,743,2024-04-15,2024-04-21
7,1036,2024-04-15,2024-04-21
8,2467,2024-04-15,2024-04-21
9,3281,2024-04-15,2024-04-21
10,3868,2024-04-15,2024-04-21
11,4712,2024-04-15,2024-04-21
12,4302,2024-04-15,2024-04-21
13,4939,2024-04-15,2024-04-21
14,6027,2024-04-15,2024-04-21
15,7495,2024-04-15,2024-04-21
16,10371,2024-04-15,2024-04-21
17,13447,2024-04-15,2024-04-21
18,13798,2024-04-15,2024-04-21
19,10566,2024-04-15,2024-04-21
20,5550,2024-04-15,2024-04-21
21,808,2024-04-15,2024-04-21
22,320,2024-04-15,2024-04-21
23,137,2024-04-15,2024-04-21
0,164,2024-04-22,2024-04-28
1,164,2024-04-22,2024-04-28
2,164,2024-04-22,2024-04-28
3,164,2024-04-22,2024-04-28
4,207,2024-04-22,2024-04-28
5,123,2024-04-22,2024-04-28
6,220,2024-04-22,2024-04-28
7,1047,2024-04-22,2024-04-28
8,2809,2024-04-22,2024-04-28
9,3966,2024-04-22,2024-04-28
10,5321,2024-04-22,2024-04-28
11,7187,2024-04-22,2024-04-28
12,8434,2024-04-22,2024-04-28
13,10812,2024-04-22,2024-04-28
14,15124,2024-04-22,2024-04-28
15,15572,2024-04-22,2024-04-28
16,18766,2024-04-22,2024-04-28
17,20736,2024-04-22,2024-04-28
18,20022,2024-04-22,2024-04-28
19,14987,2024-04-22,2024-04-28
20,8173,2024-04-22,2024-04-28
21,2361,2024-04-22,2024-04-28
22,461,2024-04-22,2024-04-28
23,204,2024-04-22,2024-04-28
0,500,2024-04-29,2024-05-05
1,315,2024-04-29,2024-05-05
2,250,2024-04-29,2024-05-05
3,250,2024-04-29,2024-05-05
4,252,2024-04-29,2024-05-05
5,660,2024-04-29,2024-05-05
6,1108,2024-04-29,2024-05-05
7,3095,2024-04-29,2024-05-05
8,4817,2024-04-29,2024-05-05
9,4756,2024-04-29,2024-05-05
10,5062,2024-04-29,2024-05-05
11,5244,2024-04-29,2024-05-05
12,6026,2024-04-29,2024-05-05
13,7051,2024-04-29,2024-05-05
14,8770,2024-04-29,2024-05-05
15,8783,2024-04-29,2024-05-05
16,9751,2024-04-29,2024-05-05
17,11908,2024-04-29,2024-05-05
18,13404,2024-04-29,2024-05-05
19,9436,2024-04-29,2024-05-05
20,6169,2024-04-29,2024-05-05
21,1560,2024-04-29,2024-05-05
22,776,2024-04-29,2024-05-05
23,499,2024-04-29,2024-05-05
0,87,2024-05-06,2024-05-12
1,87,2024-05-06,2024-05-12
2,87,2024-05-06,2024-05-12
3,87,2024-05-06,2024-05-12
4,87,2024-05-06,2024-05-12
5,140,2024-05-06,2024-05-12
6,524,2024-05-06,2024-05-12
7,1074,2024-05-06,2024-05-12
8,2293,2024-05-06,2024-05-12
9,3091,2024-05-06,2024-05-12
10,3601,2024-05-06,2024-05-12
11,5013,2024-05-06,2024-05-12
12,5765,2024-05-06,2024-05-12
13,5074,2024-05-06,2024-05-12
14,5456,2024-05-06,2024-05-12
15,7296,2024-05-06,2024-05-12
16,9614,2024-05-06,2024-05-12
17,12869,2024-05-06,2024-05-12
18,14764,2024-05-06,2024-05-12
19,11272,2024-05-06,2024-05-12
20,7026,2024-05-06,2024-05-12
21,1982,2024-05-06,2024-05-12
22,797,2024-05-06,2024-05-12
23,291,2024-05-06,2024-05-12
0,379,2024-05-13,2024-05-19
1,379,2024-05-13,2024-05-19
2,240,2024-05-13,2024-05-19
3,240,2024-05-13,2024-05-19
4,240,2024-05-13,2024-05-19
5,434,2024-05-13,2024-05-19
6,701,2024-05-13,2024-05-19
7,992,2024-05-13,2024-05-19
8,2192,2024-05-13,2024-05-19
9,3451,2024-05-13,2024-05-19
10,5047,2024-05-13,2024-05-19
11,5451,2024-05-13,2024-05-19
12,5923,2024-05-13,2024-05-19
13,6496,2024-05-13,2024-05-19
14,9039,2024-05-13,2024-05-19
15,10434,2024-05-13,2024-05-19
16,15055,2024-05-13,2024-05-19
17,16655,2024-05-13,2024-05-19
18,18620,2024-05-13,2024-05-19
19,14964,2024-05-13,2024-05-19
20,9761,2024-05-13,2024-05-19
21,2775,2024-05-13,2024-05-19
22,1250,2024-05-13,2024-05-19
23,713,2024-05-13,2024-05-19
0,552,2024-05-20,2024-05-26
1,76,2024-05-20,2024-05-26
2,76,2024-05-20,2024-05-26
3,76,2024-05-20,2024-05-26
4,76,2024-05-20,2024-05-26
5,216,2024-05-20,2024-05-26
6,533,2024-05-20,2024-05-26
7,1006,2024-05-20,2024-05-26
8,2293,2024-05-20,2024-05-26
9,3985,2024-05-20,2024-05-26
10,5256,2024-05-20,2024-05-26
11,5601,2024-05-20,2024-05-26
12,5475,2024-05-20,2024-05-26
13,6464,2024-05-20,2024-05-26
14,9677,2024-05-20,2024-05-26
15,13371,2024-05-20,2024-05-26
16,18062,2024-05-20,2024-05-26
17,22322,2024-05-20,2024-05-26
18,25244,2024-05-20,2024-05-26
19,21564,2024-05-20,2024-05-26
20,16261,2024-05-20,2024-05-26
21,6352,2024-05-20,2024-05-26
22,2096,2024-05-20,2024-05-26
23,1037,2024-05-20,2024-05-26
0,764,2024-05-27,2024-06-02
1,389,2024-05-27,2024-06-02
2,284,2024-05-27,2024-06-02
3,229,2024-05-27,2024-06-02
4,229,2024-05-27,2024-06-02
5,371,2024-05-27,2024-06-02
6,822,2024-05-27,2024-06-02
7,1249,2024-05-27,2024-06-02
8,3008,2024-05-27,2024-06-02
9,3880,2024-05-27,2024-06-02
10,5415,2024-05-27,2024-06-02
11,6520,2024-05-27,2024-06-02
12,6911,2024-05-27,2024-06-02
13,7709,2024-05-27,2024-06-02
14,9410,2024-05-27,2024-06-02
15,10718,2024-05-27,2024-06-02
16,12695,2024-05-27,2024-06-02
17,16974,2024-05-27,2024-06-02
18,19100,2024-05-27,2024-06-02
19,16981,2024-05-27,2024-06-02
20,12528,2024-05-27,2024-06-02
21,5500,2024-05-27,2024-06-02
22,2399,2024-05-27,2024-06-02
23,1170,2024-05-27,2024-06-02
0,2431,2024-06-03,2024-06-09
1,1633,2024-06-03,2024-06-09
2,1065,2024-06-03,2024-06-09
3,899,2024-06-03,2024-06-09
4,1017,2024-06-03,2024-06-09
5,1126,2024-06-03,2024-06-09
6,1297,2024-06-03,2024-06-09
7,2832,2024-06-03,2024-06-09
8,5558,2024-06-03,2024-06-09
9,8619,2024-06-03,2024-06-09
10,11570,2024-06-03,2024-06-09
11,18207,2024-06-03,2024-06-09
12,36440,2024-06-03,2024-06-09
13,68608,2024-06-03,2024-06-09
14,112207,2024-06-03,2024-06-09
15,162393,2024-06-03,2024-06-09
16,206513,2024-06-03,2024-06-09
17,241969,2024-06-03,2024-06-09
18,264928,2024-06-03,2024-06-09
19,275469,2024-06-03,2024-06-09
20,262674,2024-06-03,2024-06-09
21,200638,2024-06-03,2024-06-09
22,117512,2024-06-03,2024-06-09
23,5317,2024-06-03,2024-06-09
0,963,2024-06-10,2024-06-16
1,528,2024-06-10,2024-06-16
2,280,2024-06-10,2024-06-16
3,209,2024-06-10,2024-06-16
4,244,2024-06-10,2024-06-16
5,430,2024-06-10,2024-06-16
6,1376,2024-06-10,2024-06-16
7,5693,2024-06-10,2024-06-16
8,7225,2024-06-10,2024-06-16
9,9889,2024-06-10,2024-06-16
10,9640,2024-06-10,2024-06-16
11,8270,2024-06-10,2024-06-16
12,8240,2024-06-10,2024-06-16
13,9518,2024-06-10,2024-06-16
14,11314,2024-06-10,2024-06-16
15,13656,2024-06-10,2024-06-16
16,16703,2024-06-10,2024-06-16
17,18502,2024-06-10,2024-06-16
18,20050,2024-06-10,2024-06-16
19,17647,2024-06-10,2024-06-16
20,12928,2024-06-10,2024-06-16
21,6073,2024-06-10,2024-06-16
22,2346,2024-06-10,2024-06-16
23,1291,2024-06-10,2024-06-16
0,779,2024-06-17,2024-06-23
1,421,2024-06-17,2024-06-23
2,366,2024-06-17,2024-06-23
3,219,2024-06-17,2024-06-23
4,247,2024-06-17,2024-06-23
5,369,2024-06-17,2024-06-23
6,445,2024-06-17,2024-06-23
7,1131,2024-06-17,2024-06-23
8,2845,2024-06-17,2024-06-23
9,4441,2024-06-17,2024-06-23
10,5375,2024-06-17,2024-06-23
11,5970,2024-06-17,2024-06-23
12,6636,2024-06-17,2024-06-23
13,6640,2024-06-17,2024-06-23
14,8296,2024-06-17,2024-06-23
15,10389,2024-06-17,2024-06-23
16,12826,2024-06-17,2024-06-23
17,15850,2024-06-17,2024-06-23
18,18508,2024-06-17,2024-06-23
19,16488,2024-06-17,2024-06-23
20,12533,2024-06-17,2024-06-23
21,5395,2024-06-17,2024-06-23
22,2026,2024-06-17,2024-06-23
23,1032,2024-06-17,2024-06-23
0,395,2024-06-24,2024-06-30
1,167,2024-06-24,2024-06-30
2,97,2024-06-24,2024-06-30
3,38,2024-06-24,2024-06-30
4,106,2024-06-24,2024-06-30
5,364,2024-06-24,2024-06-30
6,583,2024-06-24,2024-06-30
7,1105,2024-06-24,2024-06-30
8,2936,2024-06-24,2024-06-30
9,3854,2024-06-24,2024-06-30
10,5176,2024-06-24,2024-06-30
11,5468,2024-06-24,2024-06-30
12,6327,2024-06-24,2024-06-30
13,7190,2024-06-24,2024-06-30
14,8845,2024-06-24,2024-06-30
15,9622,2024-06-24,2024-06-30
16,11211,2024-06-24,2024-06-30
17,12944,2024-06-24,2024-06-30
18,14735,2024-06-24,2024-06-30
19,13224,2024-06-24,2024-06-30
20,9088,2024-06-24,2024-06-30
21,3268,2024-06-24,2024-06-30
22,1208,2024-06-24,2024-06-30
23,436,2024-06-24,2024-06-30
0,802,2024-07-01,2024-07-07
1,460,2024-07-01,2024-07-07
2,285,2024-07-01,2024-07-07
3,245,2024-07-01,2024-07-07
4,245,2024-07-01,2024-07-07
5,430,2024-07-01,2024-07-07
6,430,2024-07-01,2024-07-07
7,1224,2024-07-01,2024-07-07
8,2729,2024-07-01,2024-07-07
9,4042,2024-07-01,2024-07-07
10,5194,2024-07-01,2024-07-07
11,6872,2024-07-01,2024-07-07
12,8238,2024-07-01,2024-07-07
13,10965,2024-07-01,2024-07-07
14,13622,2024-07-01,2024-07-07
15,15080,2024-07-01,2024-07-07
16,17776,2024-07-01,2024-07-07
17,20777,2024-07-01,2024-07-07
18,22598,2024-07-01,2024-07-07
19,20901,2024-07-01,2024-07-07
20,16237,2024-07-01,2024-07-07
21,7253,2024-07-01,2024-07-07
22,2620,2024-07-01,2024-07-07
23,1130,2024-07-01,2024-07-07
0,791,2024-07-08,2024-07-14
1,253,2024-07-08,2024-07-14
2,174,2024-07-08,2024-07-14
3,135,2024-07-08,2024-07-14
4,135,2024-07-08,2024-07-14
5,310,2024-07-08,2024-07-14
6,324,2024-07-08,2024-07-14
7,1193,2024-07-08,2024-07-14
8,3117,2024-07-08,2024-07-14
9,4404,2024-07-08,2024-07-14
10,5738,2024-07-08,2024-07-14
11,5880,2024-07-08,2024-07-14
12,6106,2024-07-08,2024-07-14
13,6946,2024-07-08,2024-07-14
14,8330,2024-07-08,2024-07-14
15,10696,2024-07-08,2024-07-14
16,11344,2024-07-08,2024-07-14
17,13674,2024-07-08,2024-07-14
18,17381,2024-07-08,2024-07-14
19,16590,2024-07-08,2024-07-14
20,12634,2024-07-08,2024-07-14
21,5610,2024-07-08,2024-07-14
22,2184,2024-07-08,2024-07-14
23,991,2024-07-08,2024-07-14
0,620,2024-07-15,2024-07-21
1,480,2024-07-15,2024-07-21
2,334,2024-07-15,2024-07-21
3,255,2024-07-15,2024-07-21
4,333,2024-07-15,2024-07-21
5,377,2024-07-15,2024-07-21
6,312,2024-07-15,2024-07-21
7,1021,2024-07-15,2024-07-21
8,2417,2024-07-15,2024-07-21
9,3548,2024-07-15,2024-07-21
10,5864,2024-07-15,2024-07-21
11,6969,2024-07-15,2024-07-21
12,7075,2024-07-15,2024-07-21
13,7086,2024-07-15,2024-07-21
14,9218,2024-07-15,2024-07-21
15,11054,2024-07-15,2024-07-21
16,14114,2024-07-15,2024-07-21
17,17622,2024-07-15,2024-07-21
18,22317,2024-07-15,2024-07-21
19,20387,2024-07-15,2024-07-21
20,17040,2024-07-15,2024-07-21
21,7546,2024-07-15,2024-07-21
22,2698,2024-07-15,2024-07-21
23,1431,2024-07-15,2024-07-21
0,749,2024-07-22,2024-07-28
1,458,2024-07-22,2024-07-28
2,422,2024-07-22,2024-07-28
3,422,2024-07-22,2024-07-28
4,382,2024-07-22,2024-07-28
5,623,2024-07-22,2024-07-28
6,505,2024-07-22,2024-07-28
7,1158,2024-07-22,2024-07-28
8,2599,2024-07-22,2024-07-28
9,4270,2024-07-22,2024-07-28
10,5533,2024-07-22,2024-07-28
11,7506,2024-07-22,2024-07-28
12,8105,2024-07-22,2024-07-28
13,8083,2024-07-22,2024-07-28
14,9599,2024-07-22,2024-07-28
15,11895,2024-07-22,2024-07-28
16,14328,2024-07-22,2024-07-28
17,16165,2024-07-22,2024-07-28
18,20789,2024-07-22,2024-07-28
19,20463,2024-07-22,2024-07-28
20,17114,2024-07-22,2024-07-28
21,7353,2024-07-22,2024-07-28
22,2915,2024-07-22,2024-07-28
23,1509,2024-07-22,2024-07-28
0,232,2024-07-29,2024-08-04
1,80,2024-07-29,2024-08-04
2,80,2024-07-29,2024-08-04
3,80,2024-07-29,2024-08-04
4,80,2024-07-29,2024-08-04
5,67,2024-07-29,2024-08-04
6,94,2024-07-29,2024-08-04
7,924,2024-07-29,2024-08-04
8,2992,2024-07-29,2024-08-04
9,3832,2024-07-29,2024-08-04
10,5245,2024-07-29,2024-08-04
11,5118,2024-07-29,2024-08-04
12,5188,2024-07-29,2024-08-04
