hour,visits,week_start,week_end
0,97,2024-04-01,2024-04-07
1,97,2024-04-01,2024-04-07
2,97,2024-04-01,2024-04-07
3,125,2024-04-01,2024-04-07
4,125,2024-04-01,2024-04-07
5,254,2024-04-01,2024-04-07
6,386,2024-04-01,2024-04-07
7,435,2024-04-01,2024-04-07
8,342,2024-04-01,2024-04-07
9,467,2024-04-01,2024-04-07
10,346,2024-04-01,2024-04-07
11,540,2024-04-01,2024-04-07
12,432,2024-04-01,2024-04-07
13,606,2024-04-01,2024-04-07
14,656,2024-04-01,2024-04-07
15,674,2024-04-01,2024-04-07
16,1014,2024-04-01,2024-04-07
17,598,2024-04-01,2024-04-07
18,673,2024-04-01,2024-04-07
19,415,2024-04-01,2024-04-07
20,255,2024-04-01,2024-04-07
21,222,2024-04-01,2024-04-07
22,97,2024-04-01,2024-04-07
23,97,2024-04-01,2024-04-07
0,22,2024-04-08,2024-04-14
1,126,2024-04-08,2024-04-14
2,126,2024-04-08,2024-04-14
3,0,2024-04-08,2024-04-14
4,87,2024-04-08,2024-04-14
5,343,2024-04-08,2024-04-14
6,396,2024-04-08,2024-04-14
7,112,2024-04-08,2024-04-14
8,259,2024-04-08,2024-04-14
9,412,2024-04-08,2024-04-14
10,660,2024-04-08,2024-04-14
11,1021,2024-04-08,2024-04-14
12,1459,2024-04-08,2024-04-14
13,2002,2024-04-08,2024-04-14
14,2259,2024-04-08,2024-04-14
15,2928,2024-04-08,2024-04-14
16,2720,2024-04-08,2024-04-14
17,2107,2024-04-08,2024-04-14
18,2023,2024-04-08,2024-04-14
19,1178,2024-04-08,2024-04-14
20,700,2024-04-08,2024-04-14
21,415,2024-04-08,2024-04-14
22,0,2024-04-08,2024-04-14
23,22,2024-04-08,2024-04-14
0,27,2024-04-15,2024-04-21
1,116,2024-04-15,2024-04-21
2,116,2024-04-15,2024-04-21
3,116,2024-04-15,2024-04-21
4,71,2024-04-15,2024-04-21
5,140,2024-04-15,2024-04-21
6,129,2024-04-15,2024-04-21
7,155,2024-04-15,2024-04-21
8,338,2024-04-15,2024-04-21
9,610,2024-04-15,2024-04-21
10,350,2024-04-15,2024-04-21
11,735,2024-04-15,2024-04-21
12,1165,2024-04-15,2024-04-21
13,1226,2024-04-15,2024-04-21
14,1376,2024-04-15,2024-04-21
15,2568,2024-04-15,2024-04-21
16,2714,2024-04-15,2024-04-21
17,3016,2024-04-15,2024-04-21
18,2939,2024-04-15,2024-04-21
19,2047,2024-04-15,2024-04-21
20,1084,2024-04-15,2024-04-21
21,579,2024-04-15,2024-04-21
22,370,2024-04-15,2024-04-21
23,68,2024-04-15,2024-04-21
0,246,2024-04-22,2024-04-28
1,64,2024-04-22,2024-04-28
2,64,2024-04-22,2024-04-28
3,64,2024-04-22,2024-04-28
4,28,2024-04-22,2024-04-28
5,97,2024-04-22,2024-04-28
6,142,2024-04-22,2024-04-28
7,420,2024-04-22,2024-04-28
8,1475,2024-04-22,2024-04-28
9,4485,2024-04-22,2024-04-28
10,6125,2024-04-22,2024-04-28
11,4546,2024-04-22,2024-04-28
12,2463,2024-04-22,2024-04-28
13,3813,2024-04-22,2024-04-28
14,4237,2024-04-22,2024-04-28
15,4488,2024-04-22,2024-04-28
16,5733,2024-04-22,2024-04-28
17,6056,2024-04-22,2024-04-28
18,4672,2024-04-22,2024-04-28
19,3258,2024-04-22,2024-04-28
20,2104,2024-04-22,2024-04-28
21,1270,2024-04-22,2024-04-28
22,999,2024-04-22,2024-04-28
23,947,2024-04-22,2024-04-28
0,163,2024-04-29,2024-05-05
1,308,2024-04-29,2024-05-05
2,187,2024-04-29,2024-05-05
3,219,2024-04-29,2024-05-05
4,191,2024-04-29,2024-05-05
5,340,2024-04-29,2024-05-05
6,340,2024-04-29,2024-05-05
7,346,2024-04-29,2024-05-05
8,410,2024-04-29,2024-05-05
9,1535,2024-04-29,2024-05-05
10,1803,2024-04-29,2024-05-05
11,1786,2024-04-29,2024-05-05
12,1765,2024-04-29,2024-05-05
13,2639,2024-04-29,2024-05-05
14,2756,2024-04-29,2024-05-05
15,3062,2024-04-29,2024-05-05
16,3638,2024-04-29,2024-05-05
17,3701,2024-04-29,2024-05-05
18,3831,2024-04-29,2024-05-05
19,2786,2024-04-29,2024-05-05
20,1658,2024-04-29,2024-05-05
21,1079,2024-04-29,2024-05-05
