hour,visits,week_start,week_end
0,112,2024-04-01,2024-04-07
1,57,2024-04-01,2024-04-07
2,0,2024-04-01,2024-04-07
3,0,2024-04-01,2024-04-07
4,0,2024-04-01,2024-04-07
5,0,2024-04-01,2024-04-07
6,0,2024-04-01,2024-04-07
7,98,2024-04-01,2024-04-07
8,228,2024-04-01,2024-04-07
9,513,2024-04-01,2024-04-07
10,485,2024-04-01,2024-04-07
11,290,2024-04-01,2024-04-07
12,473,2024-04-01,2024-04-07
13,442,2024-04-01,2024-04-07
14,855,2024-04-01,2024-04-07
15,1100,2024-04-01,2024-04-07
16,1318,2024-04-01,2024-04-07
17,1083,2024-04-01,2024-04-07
18,761,2024-04-01,2024-04-07
19,204,2024-04-01,2024-04-07
20,110,2024-04-01,2024-04-07
21,99,2024-04-01,2024-04-07
22,93,2024-04-01,2024-04-07
23,93,2024-04-01,2024-04-07
0,0,2024-04-08,2024-04-14
1,0,2024-04-08,2024-04-14
2,0,2024-04-08,2024-04-14
3,0,2024-04-08,2024-04-14
4,0,2024-04-08,2024-04-14
5,0,2024-04-08,2024-04-14
6,60,2024-04-08,2024-04-14
7,113,2024-04-08,2024-04-14
8,714,2024-04-08,2024-04-14
9,1418,2024-04-08,2024-04-14
10,1051,2024-04-08,2024-04-14
11,923,2024-04-08,2024-04-14
12,1113,2024-04-08,2024-04-14
13,1040,2024-04-08,2024-04-14
14,1871,2024-04-08,2024-04-14
15,2618,2024-04-08,2024-04-14
16,2108,2024-04-08,2024-04-14
17,2433,2024-04-08,2024-04-14
18,1674,2024-04-08,2024-04-14
19,851,2024-04-08,2024-04-14
20,567,2024-04-08,2024-04-14
21,219,2024-04-08,2024-04-14
22,313,2024-04-08,2024-04-14
23,30,2024-04-08,2024-04-14
0,0,2024-04-15,2024-04-21
1,0,2024-04-15,2024-04-21
2,0,2024-04-15,2024-04-21
3,0,2024-04-15,2024-04-21
4,0,2024-04-15,2024-04-21
5,0,2024-04-15,2024-04-21
6,0,2024-04-15,2024-04-21
7,0,2024-04-15,2024-04-21
8,319,2024-04-15,2024-04-21
9,798,2024-04-15,2024-04-21
10,795,2024-04-15,2024-04-21
11,830,2024-04-15,2024-04-21
12,800,2024-04-15,2024-04-21
13,798,2024-04-15,2024-04-21
14,1111,2024-04-15,2024-04-21
15,1699,2024-04-15,2024-04-21
16,1865,2024-04-15,2024-04-21
17,2203,2024-04-15,2024-04-21
18,1831,2024-04-15,2024-04-21
19,1251,2024-04-15,2024-04-21
20,776,2024-04-15,2024-04-21
21,134,2024-04-15,2024-04-21
22,163,2024-04-15,2024-04-21
23,29,2024-04-15,2024-04-21
0,128,2024-04-22,2024-04-28
1,0,2024-04-22,2024-04-28
2,0,2024-04-22,2024-04-28
3,80,2024-04-22,2024-04-28
4,107,2024-04-22,2024-04-28
5,138,2024-04-22,2024-04-28
6,394,2024-04-22,2024-04-28
7,382,2024-04-22,2024-04-28
8,1718,2024-04-22,2024-04-28
9,3079,2024-04-22,2024-04-28
10,6278,2024-04-22,2024-04-28
11,4927,2024-04-22,2024-04-28
12,2440,2024-04-22,2024-04-28
13,2429,2024-04-22,2024-04-28
14,2799,2024-04-22,2024-04-28
15,3391,2024-04-22,2024-04-28
16,2948,2024-04-22,2024-04-28
17,2377,2024-04-22,2024-04-28
18,1873,2024-04-22,2024-04-28
19,1293,2024-04-22,2024-04-28
20,577,2024-04-22,2024-04-28
21,441,2024-04-22,2024-04-28
22,322,2024-04-22,2024-04-28
23,218,2024-04-22,2024-04-28
0,460,2024-04-29,2024-05-05
1,268,2024-04-29,2024-05-05
2,136,2024-04-29,2024-05-05
3,79,2024-04-29,2024-05-05
4,106,2024-04-29,2024-05-05
5,106,2024-04-29,2024-05-05
6,141,2024-04-29,2024-05-05
7,691,2024-04-29,2024-05-05
8,1015,2024-04-29,2024-05-05
9,825,2024-04-29,2024-05-05
10,1472,2024-04-29,2024-05-05
11,1784,2024-04-29,2024-05-05
12,1648,2024-04-29,2024-05-05
13,1738,2024-04-29,2024-05-05
14,2207,2024-04-29,2024-05-05
15,2587,2024-04-29,2024-05-05
16,2464,2024-04-29,2024-05-05
17,2355,2024-04-29,2024-05-05
18,1933,2024-04-29,2024-05-05
19,1222,2024-04-29,2024-05-05
20,830,2024-04-29,2024-05-05
21,332,2024-04-29,2024-05-05
22,339,2024-04-29,2024-05-05
23,462,2024-04-29,2024-05-05
0,259,2024-05-06,2024-05-12
1,26,2024-05-06,2024-05-12
2,0,2024-05-06,2024-05-12
3,103,2024-05-06,2024-05-12
4,103,2024-05-06,2024-05-12
5,130,2024-05-06,2024-05-12
6,133,2024-05-06,2024-05-12
7,363,2024-05-06,2024-05-12
8,465,2024-05-06,2024-05-12
9,537,2024-05-06,2024-05-12
10,694,2024-05-06,2024-05-12
