hour,visits,week_start,week_end
0,92,2024-04-01,2024-04-07
1,92,2024-04-01,2024-04-07
2,92,2024-04-01,2024-04-07
3,160,2024-04-01,2024-04-07
4,160,2024-04-01,2024-04-07
5,88,2024-04-01,2024-04-07
6,88,2024-04-01,2024-04-07
7,253,2024-04-01,2024-04-07
8,1633,2024-04-01,2024-04-07
9,1917,2024-04-01,2024-04-07
10,1814,2024-04-01,2024-04-07
11,1363,2024-04-01,2024-04-07
12,2030,2024-04-01,2024-04-07
13,2874,2024-04-01,2024-04-07
14,3572,2024-04-01,2024-04-07
15,3746,2024-04-01,2024-04-07
16,4825,2024-04-01,2024-04-07
17,5589,2024-04-01,2024-04-07
18,4102,2024-04-01,2024-04-07
19,2040,2024-04-01,2024-04-07
20,764,2024-04-01,2024-04-07
21,296,2024-04-01,2024-04-07
22,71,2024-04-01,2024-04-07
23,71,2024-04-01,2024-04-07
0,433,2024-04-08,2024-04-14
1,173,2024-04-08,2024-04-14
2,173,2024-04-08,2024-04-14
3,173,2024-04-08,2024-04-14
4,200,2024-04-08,2024-04-14
5,260,2024-04-08,2024-04-14
6,546,2024-04-08,2024-04-14
7,786,2024-04-08,2024-04-14
8,1584,2024-04-08,2024-04-14
9,1741,2024-04-08,2024-04-14
10,2748,2024-04-08,2024-04-14
11,3813,2024-04-08,2024-04-14
12,4929,2024-04-08,2024-04-14
13,5592,2024-04-08,2024-04-14
14,9865,2024-04-08,2024-04-14
15,14962,2024-04-08,2024-04-14
16,13253,2024-04-08,2024-04-14
17,13216,2024-04-08,2024-04-14
18,9447,2024-04-08,2024-04-14
19,6242,2024-04-08,2024-04-14
20,3611,2024-04-08,2024-04-14
21,2583,2024-04-08,2024-04-14
22,1457,2024-04-08,2024-04-14
23,970,2024-04-08,2024-04-14
0,148,2024-04-15,2024-04-21
1,205,2024-04-15,2024-04-21
2,205,2024-04-15,2024-04-21
3,205,2024-04-15,2024-04-21
4,205,2024-04-15,2024-04-21
5,275,2024-04-15,2024-04-21
6,275,2024-04-15,2024-04-21
7,349,2024-04-15,2024-04-21
8,1687,2024-04-15,2024-04-21
9,2243,2024-04-15,2024-04-21
10,3367,2024-04-15,2024-04-21
11,2899,2024-04-15,2024-04-21
12,3219,2024-04-15,2024-04-21
13,4326,2024-04-15,2024-04-21
14,5603,2024-04-15,2024-04-21
15,7898,2024-04-15,2024-04-21
16,10586,2024-04-15,2024-04-21
17,12762,2024-04-15,2024-04-21
18,12093,2024-04-15,2024-04-21
19,7084,2024-04-15,2024-04-21
20,3213,2024-04-15,2024-04-21
21,1393,2024-04-15,2024-04-21
22,561,2024-04-15,2024-04-21
23,353,2024-04-15,2024-04-21
0,69,2024-04-22,2024-04-28
1,69,2024-04-22,2024-04-28
2,0,2024-04-22,2024-04-28
3,0,2024-04-22,2024-04-28
4,0,2024-04-22,2024-04-28
5,0,2024-04-22,2024-04-28
6,115,2024-04-22,2024-04-28
7,489,2024-04-22,2024-04-28
8,1605,2024-04-22,2024-04-28
9,2869,2024-04-22,2024-04-28
10,4917,2024-04-22,2024-04-28
11,5568,2024-04-22,2024-04-28
12,5729,2024-04-22,2024-04-28
13,7488,2024-04-22,2024-04-28
14,11420,2024-04-22,2024-04-28
15,14311,2024-04-22,2024-04-28
16,15484,2024-04-22,2024-04-28
17,13034,2024-04-22,2024-04-28
18,10683,2024-04-22,2024-04-28
19,5686,2024-04-22,2024-04-28
20,2232,2024-04-22,2024-04-28
21,419,2024-04-22,2024-04-28
22,418,2024-04-22,2024-04-28
23,286,2024-04-22,2024-04-28
0,0,2024-04-29,2024-05-05
1,0,2024-04-29,2024-05-05
2,0,2024-04-29,2024-05-05
3,0,2024-04-29,2024-05-05
4,0,2024-04-29,2024-05-05
5,0,2024-04-29,2024-05-05
6,216,2024-04-29,2024-05-05
7,881,2024-04-29,2024-05-05
8,2687,2024-04-29,2024-05-05
9,3002,2024-04-29,2024-05-05
10,4049,2024-04-29,2024-05-05
11,4281,2024-04-29,2024-05-05
12,5902,2024-04-29,2024-05-05
13,5364,2024-04-29,2024-05-05
14,7182,2024-04-29,2024-05-05
15,9694,2024-04-29,2024-05-05
16,10789,2024-04-29,2024-05-05
17,11701,2024-04-29,2024-05-05
18,9365,2024-04-29,2024-05-05
19,5395,2024-04-29,2024-05-05
20,2561,2024-04-29,2024-05-05
21,836,2024-04-29,2024-05-05
22,362,2024-04-29,2024-05-05
23,100,2024-04-29,2024-05-05
0,218,2024-05-06,2024-05-12
1,68,2024-05-06,2024-05-12
2,0,2024-05-06,2024-05-12
3,0,2024-05-06,2024-05-12
4,0,2024-05-06,2024-05-12
5,27,2024-05-06,2024-05-12
6,240,2024-05-06,2024-05-12
7,168,2024-05-06,2024-05-12
8,970,2024-05-06,2024-05-12
9,1161,2024-05-06,2024-05-12
10,1841,2024-05-06,2024-05-12
11,2649,2024-05-06,2024-05-12
12,4000,2024-05-06,2024-05-12
13,4778,2024-05-06,2024-05-12
14,4795,2024-05-06,2024-05-12
15,6867,2024-05-06,2024-05-12
16,8115,2024-05-06,2024-05-12
17,10504,2024-05-06,2024-05-12
18,12109,2024-05-06,2024-05-12
19,9644,2024-05-06,2024-05-12
20,5642,2024-05-06,2024-05-12
21,1878,2024-05-06,2024-05-12
22,796,2024-05-06,2024-05-12
23,176,2024-05-06,2024-05-12
0,110,2024-05-13,2024-05-19
1,97,2024-05-13,2024-05-19
2,97,2024-05-13,2024-05-19
3,66,2024-05-13,2024-05-19
4,0,2024-05-13,2024-05-19
5,0,2024-05-13,2024-05-19
6,212,2024-05-13,2024-05-19
7,780,2024-05-13,2024-05-19
8,2510,2024-05-13,2024-05-19
9,3566,2024-05-13,2024-05-19
10,4207,2024-05-13,2024-05-19
11,5807,2024-05-13,2024-05-19
12,7016,2024-05-13,2024-05-19
13,8062,2024-05-13,2024-05-19
14,9686,2024-05-13,2024-05-19
15,9639,2024-05-13,2024-05-19
16,9524,2024-05-13,2024-05-19
17,11579,2024-05-13,2024-05-19
18,9980,2024-05-13,2024-05-19
19,6753,2024-05-13,2024-05-19
20,3265,2024-05-13,2024-05-19
21,959,2024-05-13,2024-05-19
22,704,2024-05-13,2024-05-19
23,414,2024-05-13,2024-05-19
0,1093,2024-05-20,2024-05-26
1,420,2024-05-20,2024-05-26
2,299,2024-05-20,2024-05-26
3,189,2024-05-20,2024-05-26
4,189,2024-05-20,2024-05-26
5,44,2024-05-20,2024-05-26
6,527,2024-05-20,2024-05-26
7,1060,2024-05-20,2024-05-26
8,1486,2024-05-20,2024-05-26
9,1812,2024-05-20,2024-05-26
10,3305,2024-05-20,2024-05-26
11,5003,2024-05-20,2024-05-26
12,6762,2024-05-20,2024-05-26
13,8781,2024-05-20,2024-05-26
14,10208,2024-05-20,2024-05-26
15,12633,2024-05-20,2024-05-26
16,14798,2024-05-20,2024-05-26
17,15934,2024-05-20,2024-05-26
18,16188,2024-05-20,2024-05-26
19,12738,2024-05-20,2024-05-26
20,8289,2024-05-20,2024-05-26
21,4267,2024-05-20,2024-05-26
22,3306,2024-05-20,2024-05-26
23,1643,2024-05-20,2024-05-26
0,435,2024-05-27,2024-06-02
1,223,2024-05-27,2024-06-02
2,135,2024-05-27,2024-06-02
3,183,2024-05-27,2024-06-02
4,213,2024-05-27,2024-06-02
5,165,2024-05-27,2024-06-02
6,362,2024-05-27,2024-06-02
7,1117,2024-05-27,2024-06-02
8,2424,2024-05-27,2024-06-02
9,4848,2024-05-27,2024-06-02
10,7981,2024-05-27,2024-06-02
11,8634,2024-05-27,2024-06-02
12,11559,2024-05-27,2024-06-02
13,13578,2024-05-27,2024-06-02
14,14697,2024-05-27,2024-06-02
15,17142,2024-05-27,2024-06-02
16,17747,2024-05-27,2024-06-02
17,20594,2024-05-27,2024-06-02
18,19449,2024-05-27,2024-06-02
19,14896,2024-05-27,2024-06-02
20,9106,2024-05-27,2024-06-02
21,3536,2024-05-27,2024-06-02
22,1193,2024-05-27,2024-06-02
23,928,2024-05-27,2024-06-02
0,235,2024-06-03,2024-06-09
1,411,2024-06-03,2024-06-09
2,358,2024-06-03,2024-06-09
3,172,2024-06-03,2024-06-09
4,172,2024-06-03,2024-06-09
5,241,2024-06-03,2024-06-09
6,292,2024-06-03,2024-06-09
7,923,2024-06-03,2024-06-09
8,3696,2024-06-03,2024-06-09
9,5022,2024-06-03,2024-06-09
10,8560,2024-06-03,2024-06-09
11,9071,2024-06-03,2024-06-09
12,10153,2024-06-03,2024-06-09
13,10949,2024-06-03,2024-06-09
14,11169,2024-06-03,2024-06-09
15,13375,2024-06-03,2024-06-09
16,14889,2024-06-03,2024-06-09
17,17121,2024-06-03,2024-06-09
18,16814,2024-06-03,2024-06-09
19,14256,2024-06-03,2024-06-09
20,10316,2024-06-03,2024-06-09
21,4741,2024-06-03,2024-06-09
22,1332,2024-06-03,2024-06-09
23,483,2024-06-03,2024-06-09
0,777,2024-06-10,2024-06-16
1,285,2024-06-10,2024-06-16
2,77,2024-06-10,2024-06-16
3,77,2024-06-10,2024-06-16
4,95,2024-06-10,2024-06-16
5,95,2024-06-10,2024-06-16
6,299,2024-06-10,2024-06-16
7,797,2024-06-10,2024-06-16
8,2468,2024-06-10,2024-06-16
9,4179,2024-06-10,2024-06-16
10,6039,2024-06-10,2024-06-16
11,8033,2024-06-10,2024-06-16
12,11503,2024-06-10,2024-06-16
13,12772,2024-06-10,2024-06-16
14,14491,2024-06-10,2024-06-16
15,13295,2024-06-10,2024-06-16
16,14210,2024-06-10,2024-06-16
17,15528,2024-06-10,2024-06-16
18,15734,2024-06-10,2024-06-16
19,13951,2024-06-10,2024-06-16
20,8353,2024-06-10,2024-06-16
21,4416,2024-06-10,2024-06-16
22,2147,2024-06-10,2024-06-16
