hour,visits,week_start,week_end
0,68,2024-04-01,2024-04-07
1,68,2024-04-01,2024-04-07
2,0,2024-04-01,2024-04-07
3,0,2024-04-01,2024-04-07
4,28,2024-04-01,2024-04-07
5,124,2024-04-01,2024-04-07
6,240,2024-04-01,2024-04-07
7,218,2024-04-01,2024-04-07
8,312,2024-04-01,2024-04-07
9,295,2024-04-01,2024-04-07
10,962,2024-04-01,2024-04-07
11,903,2024-04-01,2024-04-07
12,866,2024-04-01,2024-04-07
13,1154,2024-04-01,2024-04-07
14,1390,2024-04-01,2024-04-07
15,1728,2024-04-01,2024-04-07
16,1656,2024-04-01,2024-04-07
17,1062,2024-04-01,2024-04-07
18,785,2024-04-01,2024-04-07
19,291,2024-04-01,2024-04-07
20,84,2024-04-01,2024-04-07
21,84,2024-04-01,2024-04-07
22,94,2024-04-01,2024-04-07
23,68,2024-04-01,2024-04-07
0,0,2024-04-08,2024-04-14
1,0,2024-04-08,2024-04-14
2,0,2024-04-08,2024-04-14
3,0,2024-04-08,2024-04-14
4,0,2024-04-08,2024-04-14
5,213,2024-04-08,2024-04-14
6,239,2024-04-08,2024-04-14
7,265,2024-04-08,2024-04-14
8,788,2024-04-08,2024-04-14
9,1227,2024-04-08,2024-04-14
10,1272,2024-04-08,2024-04-14
11,1469,2024-04-08,2024-04-14
12,1233,2024-04-08,2024-04-14
13,1327,2024-04-08,2024-04-14
14,2633,2024-04-08,2024-04-14
15,4931,2024-04-08,2024-04-14
16,4348,2024-04-08,2024-04-14
17,3768,2024-04-08,2024-04-14
18,2815,2024-04-08,2024-04-14
19,1733,2024-04-08,2024-04-14
20,847,2024-04-08,2024-04-14
21,432,2024-04-08,2024-04-14
22,326,2024-04-08,2024-04-14
23,163,2024-04-08,2024-04-14
0,19,2024-04-15,2024-04-21
1,0,2024-04-15,2024-04-21
2,0,2024-04-15,2024-04-21
3,0,2024-04-15,2024-04-21
4,0,2024-04-15,2024-04-21
5,0,2024-04-15,2024-04-21
6,98,2024-04-15,2024-04-21
7,134,2024-04-15,2024-04-21
8,116,2024-04-15,2024-04-21
9,199,2024-04-15,2024-04-21
10,448,2024-04-15,2024-04-21
11,1006,2024-04-15,2024-04-21
12,977,2024-04-15,2024-04-21
13,801,2024-04-15,2024-04-21
14,1288,2024-04-15,2024-04-21
15,1499,2024-04-15,2024-04-21
16,2677,2024-04-15,2024-04-21
17,2625,2024-04-15,2024-04-21
18,2176,2024-04-15,2024-04-21
19,1708,2024-04-15,2024-04-21
20,836,2024-04-15,2024-04-21
21,457,2024-04-15,2024-04-21
22,245,2024-04-15,2024-04-21
23,43,2024-04-15,2024-04-21
0,186,2024-04-22,2024-04-28
1,87,2024-04-22,2024-04-28
2,57,2024-04-22,2024-04-28
3,57,2024-04-22,2024-04-28
4,57,2024-04-22,2024-04-28
5,116,2024-04-22,2024-04-28
6,304,2024-04-22,2024-04-28
7,354,2024-04-22,2024-04-28
8,323,2024-04-22,2024-04-28
9,653,2024-04-22,2024-04-28
10,1133,2024-04-22,2024-04-28
11,1699,2024-04-22,2024-04-28
12,2352,2024-04-22,2024-04-28
13,3563,2024-04-22,2024-04-28
14,4389,2024-04-22,2024-04-28
15,3680,2024-04-22,2024-04-28
16,3768,2024-04-22,2024-04-28
17,2802,2024-04-22,2024-04-28
18,1316,2024-04-22,2024-04-28
19,728,2024-04-22,2024-04-28
20,664,2024-04-22,2024-04-28
21,281,2024-04-22,2024-04-28
22,184,2024-04-22,2024-04-28
23,156,2024-04-22,2024-04-28
0,45,2024-04-29,2024-05-05
1,0,2024-04-29,2024-05-05
2,0,2024-04-29,2024-05-05
3,0,2024-04-29,2024-05-05
4,0,2024-04-29,2024-05-05
5,0,2024-04-29,2024-05-05
6,56,2024-04-29,2024-05-05
7,470,2024-04-29,2024-05-05
8,799,2024-04-29,2024-05-05
9,1326,2024-04-29,2024-05-05
10,1859,2024-04-29,2024-05-05
11,2092,2024-04-29,2024-05-05
12,2350,2024-04-29,2024-05-05
13,2446,2024-04-29,2024-05-05
14,2384,2024-04-29,2024-05-05
15,2952,2024-04-29,2024-05-05
16,2783,2024-04-29,2024-05-05
17,2072,2024-04-29,2024-05-05
18,1208,2024-04-29,2024-05-05
19,866,2024-04-29,2024-05-05
20,124,2024-04-29,2024-05-05
21,0,2024-04-29,2024-05-05
22,27,2024-04-29,2024-05-05
23,45,2024-04-29,2024-05-05
0,95,2024-05-06,2024-05-12
1,0,2024-05-06,2024-05-12
2,0,2024-05-06,2024-05-12
3,0,2024-05-06,2024-05-12
4,0,2024-05-06,2024-05-12
5,33,2024-05-06,2024-05-12
6,123,2024-05-06,2024-05-12
7,173,2024-05-06,2024-05-12
8,223,2024-05-06,2024-05-12
9,344,2024-05-06,2024-05-12
10,842,2024-05-06,2024-05-12
11,899,2024-05-06,2024-05-12
12,1173,2024-05-06,2024-05-12
13,1222,2024-05-06,2024-05-12
14,1032,2024-05-06,2024-05-12
15,1681,2024-05-06,2024-05-12
16,1333,2024-05-06,2024-05-12
17,1173,2024-05-06,2024-05-12
18,1282,2024-05-06,2024-05-12
19,734,2024-05-06,2024-05-12
20,382,2024-05-06,2024-05-12
21,423,2024-05-06,2024-05-12
22,360,2024-05-06,2024-05-12
23,335,2024-05-06,2024-05-12
0,303,2024-05-13,2024-05-19
1,106,2024-05-13,2024-05-19
2,106,2024-05-13,2024-05-19
3,106,2024-05-13,2024-05-19
4,106,2024-05-13,2024-05-19
5,145,2024-05-13,2024-05-19
6,481,2024-05-13,2024-05-19
7,404,2024-05-13,2024-05-19
8,593,2024-05-13,2024-05-19
9,811,2024-05-13,2024-05-19
10,1228,2024-05-13,2024-05-19
11,1191,2024-05-13,2024-05-19
12,1184,2024-05-13,2024-05-19
13,1346,2024-05-13,2024-05-19
14,1941,2024-05-13,2024-05-19
15,3227,2024-05-13,2024-05-19
16,2647,2024-05-13,2024-05-19
17,2388,2024-05-13,2024-05-19
18,2249,2024-05-13,2024-05-19
19,2229,2024-05-13,2024-05-19
20,1646,2024-05-13,2024-05-19
21,742,2024-05-13,2024-05-19
22,223,2024-05-13,2024-05-19
23,329,2024-05-13,2024-05-19
0,640,2024-05-20,2024-05-26
1,232,2024-05-20,2024-05-26
2,158,2024-05-20,2024-05-26
3,158,2024-05-20,2024-05-26
4,0,2024-05-20,2024-05-26
5,42,2024-05-20,2024-05-26
6,370,2024-05-20,2024-05-26
7,519,2024-05-20,2024-05-26
8,265,2024-05-20,2024-05-26
9,622,2024-05-20,2024-05-26
10,746,2024-05-20,2024-05-26
11,1055,2024-05-20,2024-05-26
12,1135,2024-05-20,2024-05-26
13,1229,2024-05-20,2024-05-26
14,2019,2024-05-20,2024-05-26
15,2732,2024-05-20,2024-05-26
16,3637,2024-05-20,2024-05-26
17,3584,2024-05-20,2024-05-26
18,3159,2024-05-20,2024-05-26
19,2233,2024-05-20,2024-05-26
20,1668,2024-05-20,2024-05-26
21,1336,2024-05-20,2024-05-26
22,876,2024-05-20,2024-05-26
23,458,2024-05-20,2024-05-26
0,266,2024-05-27,2024-06-02
1,231,2024-05-27,2024-06-02
2,182,2024-05-27,2024-06-02
3,124,2024-05-27,2024-06-02
4,152,2024-05-27,2024-06-02
5,165,2024-05-27,2024-06-02
6,438,2024-05-27,2024-06-02
7,370,2024-05-27,2024-06-02
8,647,2024-05-27,2024-06-02
9,1592,2024-05-27,2024-06-02
10,2566,2024-05-27,2024-06-02
11,2963,2024-05-27,2024-06-02
12,3387,2024-05-27,2024-06-02
13,3281,2024-05-27,2024-06-02
14,2358,2024-05-27,2024-06-02
15,3518,2024-05-27,2024-06-02
16,4640,2024-05-27,2024-06-02
17,4463,2024-05-27,2024-06-02
18,4206,2024-05-27,2024-06-02
19,3968,2024-05-27,2024-06-02
20,3073,2024-05-27,2024-06-02
21,1998,2024-05-27,2024-06-02
22,1013,2024-05-27,2024-06-02
23,328,2024-05-27,2024-06-02
0,50,2024-06-03,2024-06-09
1,0,2024-06-03,2024-06-09
2,0,2024-06-03,2024-06-09
3,50,2024-06-03,2024-06-09
4,214,2024-06-03,2024-06-09
5,244,2024-06-03,2024-06-09
6,300,2024-06-03,2024-06-09
7,554,2024-06-03,2024-06-09
8,526,2024-06-03,2024-06-09
9,1042,2024-06-03,2024-06-09
10,1510,2024-06-03,2024-06-09
11,1355,2024-06-03,2024-06-09
12,2151,2024-06-03,2024-06-09
13,2721,2024-06-03,2024-06-09
14,2522,2024-06-03,2024-06-09
15,4333,2024-06-03,2024-06-09
16,5152,2024-06-03,2024-06-09
17,5362,2024-06-03,2024-06-09
18,4972,2024-06-03,2024-06-09
19,3443,2024-06-03,2024-06-09
20,2387,2024-06-03,2024-06-09
21,2087,2024-06-03,2024-06-09
22,1507,2024-06-03,2024-06-09
23,659,2024-06-03,2024-06-09
0,625,2024-06-10,2024-06-16
1,142,2024-06-10,2024-06-16
2,39,2024-06-10,2024-06-16
3,39,2024-06-10,2024-06-16
4,149,2024-06-10,2024-06-16
5,328,2024-06-10,2024-06-16
6,479,2024-06-10,2024-06-16
7,377,2024-06-10,2024-06-16
8,890,2024-06-10,2024-06-16
9,1053,2024-06-10,2024-06-16
10,2467,2024-06-10,2024-06-16
11,2376,2024-06-10,2024-06-16
12,2320,2024-06-10,2024-06-16
13,1895,2024-06-10,2024-06-16
14,1971,2024-06-10,2024-06-16
15,3912,2024-06-10,2024-06-16
16,4308,2024-06-10,2024-06-16
17,4669,2024-06-10,2024-06-16
18,6024,2024-06-10,2024-06-16
19,7084,2024-06-10,2024-06-16
20,8539,2024-06-10,2024-06-16
