hour,visits,week_start,week_end
0,257,2024-04-01,2024-04-07
1,192,2024-04-01,2024-04-07
2,94,2024-04-01,2024-04-07
3,94,2024-04-01,2024-04-07
4,94,2024-04-01,2024-04-07
5,94,2024-04-01,2024-04-07
6,94,2024-04-01,2024-04-07
7,94,2024-04-01,2024-04-07
8,156,2024-04-01,2024-04-07
9,94,2024-04-01,2024-04-07
10,94,2024-04-01,2024-04-07
11,329,2024-04-01,2024-04-07
12,460,2024-04-01,2024-04-07
13,741,2024-04-01,2024-04-07
14,1310,2024-04-01,2024-04-07
15,1081,2024-04-01,2024-04-07
16,1642,2024-04-01,2024-04-07
17,1496,2024-04-01,2024-04-07
18,1160,2024-04-01,2024-04-07
19,787,2024-04-01,2024-04-07
20,420,2024-04-01,2024-04-07
21,120,2024-04-01,2024-04-07
22,94,2024-04-01,2024-04-07
23,159,2024-04-01,2024-04-07
0,25,2024-04-08,2024-04-14
1,0,2024-04-08,2024-04-14
2,0,2024-04-08,2024-04-14
3,0,2024-04-08,2024-04-14
4,60,2024-04-08,2024-04-14
5,60,2024-04-08,2024-04-14
6,186,2024-04-08,2024-04-14
7,165,2024-04-08,2024-04-14
8,411,2024-04-08,2024-04-14
9,534,2024-04-08,2024-04-14
10,607,2024-04-08,2024-04-14
11,925,2024-04-08,2024-04-14
12,1445,2024-04-08,2024-04-14
13,1548,2024-04-08,2024-04-14
14,1895,2024-04-08,2024-04-14
15,3555,2024-04-08,2024-04-14
16,3398,2024-04-08,2024-04-14
17,3032,2024-04-08,2024-04-14
18,2245,2024-04-08,2024-04-14
19,1060,2024-04-08,2024-04-14
20,558,2024-04-08,2024-04-14
21,244,2024-04-08,2024-04-14
22,67,2024-04-08,2024-04-14
23,92,2024-04-08,2024-04-14
0,0,2024-04-15,2024-04-21
1,0,2024-04-15,2024-04-21
2,0,2024-04-15,2024-04-21
3,0,2024-04-15,2024-04-21
4,0,2024-04-15,2024-04-21
5,0,2024-04-15,2024-04-21
6,0,2024-04-15,2024-04-21
7,110,2024-04-15,2024-04-21
8,482,2024-04-15,2024-04-21
9,458,2024-04-15,2024-04-21
10,717,2024-04-15,2024-04-21
11,1001,2024-04-15,2024-04-21
12,1123,2024-04-15,2024-04-21
13,792,2024-04-15,2024-04-21
14,1523,2024-04-15,2024-04-21
15,2612,2024-04-15,2024-04-21
16,3533,2024-04-15,2024-04-21
17,4018,2024-04-15,2024-04-21
18,3642,2024-04-15,2024-04-21
19,3048,2024-04-15,2024-04-21
20,1655,2024-04-15,2024-04-21
21,900,2024-04-15,2024-04-21
22,586,2024-04-15,2024-04-21
23,124,2024-04-15,2024-04-21
0,216,2024-04-22,2024-04-28
1,64,2024-04-22,2024-04-28
2,126,2024-04-22,2024-04-28
3,126,2024-04-22,2024-04-28
4,62,2024-04-22,2024-04-28
5,62,2024-04-22,2024-04-28
6,121,2024-04-22,2024-04-28
7,257,2024-04-22,2024-04-28
8,363,2024-04-22,2024-04-28
9,534,2024-04-22,2024-04-28
10,1125,2024-04-22,2024-04-28
11,2280,2024-04-22,2024-04-28
12,3089,2024-04-22,2024-04-28
13,3861,2024-04-22,2024-04-28
14,5212,2024-04-22,2024-04-28
15,6534,2024-04-22,2024-04-28
16,7003,2024-04-22,2024-04-28
17,5575,2024-04-22,2024-04-28
18,4506,2024-04-22,2024-04-28
19,3267,2024-04-22,2024-04-28
20,1725,2024-04-22,2024-04-28
21,889,2024-04-22,2024-04-28
22,664,2024-04-22,2024-04-28
23,276,2024-04-22,2024-04-28
0,332,2024-04-29,2024-05-05
1,196,2024-04-29,2024-05-05
2,196,2024-04-29,2024-05-05
3,196,2024-04-29,2024-05-05
