hour,visits,week_start,week_end
0,163,2024-04-01,2024-04-07
1,0,2024-04-01,2024-04-07
2,0,2024-04-01,2024-04-07
3,0,2024-04-01,2024-04-07
4,0,2024-04-01,2024-04-07
5,0,2024-04-01,2024-04-07
6,0,2024-04-01,2024-04-07
7,83,2024-04-01,2024-04-07
8,515,2024-04-01,2024-04-07
9,1047,2024-04-01,2024-04-07
10,852,2024-04-01,2024-04-07
11,1096,2024-04-01,2024-04-07
12,2433,2024-04-01,2024-04-07
13,5523,2024-04-01,2024-04-07
14,7363,2024-04-01,2024-04-07
15,7814,2024-04-01,2024-04-07
16,6797,2024-04-01,2024-04-07
17,5002,2024-04-01,2024-04-07
18,2589,2024-04-01,2024-04-07
19,1283,2024-04-01,2024-04-07
20,382,2024-04-01,2024-04-07
21,250,2024-04-01,2024-04-07
22,431,2024-04-01,2024-04-07
23,588,2024-04-01,2024-04-07
0,32,2024-04-08,2024-04-14
1,0,2024-04-08,2024-04-14
2,0,2024-04-08,2024-04-14
3,0,2024-04-08,2024-04-14
4,70,2024-04-08,2024-04-14
5,165,2024-04-08,2024-04-14
6,193,2024-04-08,2024-04-14
7,529,2024-04-08,2024-04-14
8,1616,2024-04-08,2024-04-14
9,2802,2024-04-08,2024-04-14
10,2568,2024-04-08,2024-04-14
11,2369,2024-04-08,2024-04-14
12,3336,2024-04-08,2024-04-14
13,5829,2024-04-08,2024-04-14
14,7899,2024-04-08,2024-04-14
15,9377,2024-04-08,2024-04-14
16,8950,2024-04-08,2024-04-14
17,8041,2024-04-08,2024-04-14
18,4640,2024-04-08,2024-04-14
19,1514,2024-04-08,2024-04-14
20,852,2024-04-08,2024-04-14
21,432,2024-04-08,2024-04-14
22,258,2024-04-08,2024-04-14
23,114,2024-04-08,2024-04-14
0,61,2024-04-15,2024-04-21
1,61,2024-04-15,2024-04-21
2,0,2024-04-15,2024-04-21
3,0,2024-04-15,2024-04-21
4,0,2024-04-15,2024-04-21
5,0,2024-04-15,2024-04-21
6,184,2024-04-15,2024-04-21
7,308,2024-04-15,2024-04-21
8,396,2024-04-15,2024-04-21
9,894,2024-04-15,2024-04-21
10,1059,2024-04-15,2024-04-21
11,1044,2024-04-15,2024-04-21
12,2549,2024-04-15,2024-04-21
13,4576,2024-04-15,2024-04-21
14,5941,2024-04-15,2024-04-21
15,7380,2024-04-15,2024-04-21
16,8108,2024-04-15,2024-04-21
17,7799,2024-04-15,2024-04-21
18,5022,2024-04-15,2024-04-21
19,2928,2024-04-15,2024-04-21
20,1352,2024-04-15,2024-04-21
21,741,2024-04-15,2024-04-21
22,364,2024-04-15,2024-04-21
23,114,2024-04-15,2024-04-21
0,312,2024-04-22,2024-04-28
1,130,2024-04-22,2024-04-28
2,0,2024-04-22,2024-04-28
3,0,2024-04-22,2024-04-28
4,72,2024-04-22,2024-04-28
5,307,2024-04-22,2024-04-28
6,698,2024-04-22,2024-04-28
7,939,2024-04-22,2024-04-28
8,2311,2024-04-22,2024-04-28
9,4330,2024-04-22,2024-04-28
10,7143,2024-04-22,2024-04-28
11,8123,2024-04-22,2024-04-28
12,7675,2024-04-22,2024-04-28
13,8665,2024-04-22,2024-04-28
14,10702,2024-04-22,2024-04-28
15,12317,2024-04-22,2024-04-28
16,12705,2024-04-22,2024-04-28
17,10649,2024-04-22,2024-04-28
18,5635,2024-04-22,2024-04-28
19,2277,2024-04-22,2024-04-28
20,802,2024-04-22,2024-04-28
