hour,visits,week_start,week_end
0,0,2024-04-01,2024-04-07
1,0,2024-04-01,2024-04-07
2,0,2024-04-01,2024-04-07
3,0,2024-04-01,2024-04-07
4,0,2024-04-01,2024-04-07
5,0,2024-04-01,2024-04-07
6,200,2024-04-01,2024-04-07
7,419,2024-04-01,2024-04-07
8,722,2024-04-01,2024-04-07
9,1338,2024-04-01,2024-04-07
10,1700,2024-04-01,2024-04-07
11,1357,2024-04-01,2024-04-07
12,1239,2024-04-01,2024-04-07
13,1841,2024-04-01,2024-04-07
14,2299,2024-04-01,2024-04-07
15,2977,2024-04-01,2024-04-07
16,3607,2024-04-01,2024-04-07
17,3922,2024-04-01,2024-04-07
18,2724,2024-04-01,2024-04-07
19,1947,2024-04-01,2024-04-07
20,483,2024-04-01,2024-04-07
21,0,2024-04-01,2024-04-07
22,152,2024-04-01,2024-04-07
23,93,2024-04-01,2024-04-07
0,175,2024-04-08,2024-04-14
1,92,2024-04-08,2024-04-14
2,0,2024-04-08,2024-04-14
3,0,2024-04-08,2024-04-14
4,0,2024-04-08,2024-04-14
5,237,2024-04-08,2024-04-14
6,327,2024-04-08,2024-04-14
7,428,2024-04-08,2024-04-14
8,1488,2024-04-08,2024-04-14
9,2052,2024-04-08,2024-04-14
10,2083,2024-04-08,2024-04-14
11,1905,2024-04-08,2024-04-14
12,2004,2024-04-08,2024-04-14
13,2104,2024-04-08,2024-04-14
14,2410,2024-04-08,2024-04-14
15,3741,2024-04-08,2024-04-14
16,4001,2024-04-08,2024-04-14
17,4241,2024-04-08,2024-04-14
18,3503,2024-04-08,2024-04-14
19,2453,2024-04-08,2024-04-14
20,851,2024-04-08,2024-04-14
21,231,2024-04-08,2024-04-14
22,69,2024-04-08,2024-04-14
23,196,2024-04-08,2024-04-14
0,76,2024-04-15,2024-04-21
1,26,2024-04-15,2024-04-21
2,26,2024-04-15,2024-04-21
3,26,2024-04-15,2024-04-21
4,26,2024-04-15,2024-04-21
5,203,2024-04-15,2024-04-21
6,262,2024-04-15,2024-04-21
7,354,2024-04-15,2024-04-21
8,1072,2024-04-15,2024-04-21
9,2087,2024-04-15,2024-04-21
10,2118,2024-04-15,2024-04-21
11,1955,2024-04-15,2024-04-21
12,2001,2024-04-15,2024-04-21
13,2545,2024-04-15,2024-04-21
14,3142,2024-04-15,2024-04-21
15,3485,2024-04-15,2024-04-21
16,4760,2024-04-15,2024-04-21
17,4775,2024-04-15,2024-04-21
18,3255,2024-04-15,2024-04-21
19,2277,2024-04-15,2024-04-21
20,953,2024-04-15,2024-04-21
21,470,2024-04-15,2024-04-21
22,246,2024-04-15,2024-04-21
23,136,2024-04-15,2024-04-21
0,127,2024-04-22,2024-04-28
1,59,2024-04-22,2024-04-28
2,33,2024-04-22,2024-04-28
3,0,2024-04-22,2024-04-28
4,26,2024-04-22,2024-04-28
5,323,2024-04-22,2024-04-28
6,356,2024-04-22,2024-04-28
7,757,2024-04-22,2024-04-28
8,1430,2024-04-22,2024-04-28
9,2035,2024-04-22,2024-04-28
10,2712,2024-04-22,2024-04-28
11,2983,2024-04-22,2024-04-28
12,3048,2024-04-22,2024-04-28
13,3273,2024-04-22,2024-04-28
14,3815,2024-04-22,2024-04-28
15,4394,2024-04-22,2024-04-28
16,4676,2024-04-22,2024-04-28
17,5404,2024-04-22,2024-04-28
18,4979,2024-04-22,2024-04-28
19,3154,2024-04-22,2024-04-28
20,1363,2024-04-22,2024-04-28
21,334,2024-04-22,2024-04-28
22,159,2024-04-22,2024-04-28
23,152,2024-04-22,2024-04-28
0,36,2024-04-29,2024-05-05
1,0,2024-04-29,2024-05-05
2,0,2024-04-29,2024-05-05
3,0,2024-04-29,2024-05-05
4,56,2024-04-29,2024-05-05
5,337,2024-04-29,2024-05-05
6,457,2024-04-29,2024-05-05
7,666,2024-04-29,2024-05-05
8,1622,2024-04-29,2024-05-05
9,2803,2024-04-29,2024-05-05
10,2732,2024-04-29,2024-05-05
11,2754,2024-04-29,2024-05-05
12,2940,2024-04-29,2024-05-05
13,2678,2024-04-29,2024-05-05
14,3079,2024-04-29,2024-05-05
15,2916,2024-04-29,2024-05-05
16,3078,2024-04-29,2024-05-05
17,3727,2024-04-29,2024-05-05
18,4524,2024-04-29,2024-05-05
19,3229,2024-04-29,2024-05-05
20,1637,2024-04-29,2024-05-05
21,568,2024-04-29,2024-05-05
22,352,2024-04-29,2024-05-05
23,212,2024-04-29,2024-05-05
0,162,2024-05-06,2024-05-12
1,41,2024-05-06,2024-05-12
2,0,2024-05-06,2024-05-12
3,0,2024-05-06,2024-05-12
4,0,2024-05-06,2024-05-12
5,235,2024-05-06,2024-05-12
6,327,2024-05-06,2024-05-12
7,719,2024-05-06,2024-05-12
8,1574,2024-05-06,2024-05-12
9,2484,2024-05-06,2024-05-12
10,3038,2024-05-06,2024-05-12
11,2783,2024-05-06,2024-05-12
12,2770,2024-05-06,2024-05-12
13,2670,2024-05-06,2024-05-12
14,2664,2024-05-06,2024-05-12
15,4143,2024-05-06,2024-05-12
16,5519,2024-05-06,2024-05-12
17,6063,2024-05-06,2024-05-12
18,5248,2024-05-06,2024-05-12
19,4243,2024-05-06,2024-05-12
20,2268,2024-05-06,2024-05-12
21,872,2024-05-06,2024-05-12
22,336,2024-05-06,2024-05-12
23,180,2024-05-06,2024-05-12
0,32,2024-05-13,2024-05-19
1,32,2024-05-13,2024-05-19
2,32,2024-05-13,2024-05-19
3,32,2024-05-13,2024-05-19
4,32,2024-05-13,2024-05-19
5,216,2024-05-13,2024-05-19
6,331,2024-05-13,2024-05-19
7,725,2024-05-13,2024-05-19
8,2149,2024-05-13,2024-05-19
9,2938,2024-05-13,2024-05-19
10,3950,2024-05-13,2024-05-19
11,3752,2024-05-13,2024-05-19
12,3572,2024-05-13,2024-05-19
13,3955,2024-05-13,2024-05-19
14,3753,2024-05-13,2024-05-19
15,3936,2024-05-13,2024-05-19
16,4720,2024-05-13,2024-05-19
17,5631,2024-05-13,2024-05-19
18,5865,2024-05-13,2024-05-19
19,4043,2024-05-13,2024-05-19
20,1829,2024-05-13,2024-05-19
21,577,2024-05-13,2024-05-19
22,249,2024-05-13,2024-05-19
23,156,2024-05-13,2024-05-19
0,114,2024-05-20,2024-05-26
1,0,2024-05-20,2024-05-26
2,0,2024-05-20,2024-05-26
3,33,2024-05-20,2024-05-26
4,82,2024-05-20,2024-05-26
5,182,2024-05-20,2024-05-26
6,492,2024-05-20,2024-05-26
7,681,2024-05-20,2024-05-26
8,1879,2024-05-20,2024-05-26
9,2912,2024-05-20,2024-05-26
10,2728,2024-05-20,2024-05-26
11,3252,2024-05-20,2024-05-26
12,2891,2024-05-20,2024-05-26
13,3365,2024-05-20,2024-05-26
14,3347,2024-05-20,2024-05-26
15,3916,2024-05-20,2024-05-26
16,5512,2024-05-20,2024-05-26
17,6390,2024-05-20,2024-05-26
18,6536,2024-05-20,2024-05-26
19,5826,2024-05-20,2024-05-26
20,3552,2024-05-20,2024-05-26
21,1121,2024-05-20,2024-05-26
22,478,2024-05-20,2024-05-26
23,132,2024-05-20,2024-05-26
0,297,2024-05-27,2024-06-02
1,161,2024-05-27,2024-06-02
2,118,2024-05-27,2024-06-02
3,118,2024-05-27,2024-06-02
4,118,2024-05-27,2024-06-02
5,357,2024-05-27,2024-06-02
6,268,2024-05-27,2024-06-02
7,967,2024-05-27,2024-06-02
8,2783,2024-05-27,2024-06-02
9,3207,2024-05-27,2024-06-02
10,3545,2024-05-27,2024-06-02
11,2908,2024-05-27,2024-06-02
12,3271,2024-05-27,2024-06-02
13,3674,2024-05-27,2024-06-02
14,3342,2024-05-27,2024-06-02
15,3707,2024-05-27,2024-06-02
16,4237,2024-05-27,2024-06-02
17,5094,2024-05-27,2024-06-02
18,7106,2024-05-27,2024-06-02
19,7377,2024-05-27,2024-06-02
20,4971,2024-05-27,2024-06-02
21,991,2024-05-27,2024-06-02
22,564,2024-05-27,2024-06-02
23,342,2024-05-27,2024-06-02
0,406,2024-06-03,2024-06-09
1,139,2024-06-03,2024-06-09
2,139,2024-06-03,2024-06-09
3,24,2024-06-03,2024-06-09
4,24,2024-06-03,2024-06-09
5,287,2024-06-03,2024-06-09
6,401,2024-06-03,2024-06-09
7,832,2024-06-03,2024-06-09
8,3048,2024-06-03,2024-06-09
9,3425,2024-06-03,2024-06-09
10,3139,2024-06-03,2024-06-09
11,3744,2024-06-03,2024-06-09
12,3289,2024-06-03,2024-06-09
13,2646,2024-06-03,2024-06-09
14,2612,2024-06-03,2024-06-09
15,2645,2024-06-03,2024-06-09
16,3358,2024-06-03,2024-06-09
17,4684,2024-06-03,2024-06-09
18,6430,2024-06-03,2024-06-09
19,6748,2024-06-03,2024-06-09
20,4578,2024-06-03,2024-06-09
21,1316,2024-06-03,2024-06-09
22,503,2024-06-03,2024-06-09
23,273,2024-06-03,2024-06-09
0,121,2024-06-10,2024-06-16
1,101,2024-06-10,2024-06-16
2,86,2024-06-10,2024-06-16
3,36,2024-06-10,2024-06-16
4,55,2024-06-10,2024-06-16
5,393,2024-06-10,2024-06-16
6,466,2024-06-10,2024-06-16
7,1025,2024-06-10,2024-06-16
8,2561,2024-06-10,2024-06-16
9,3335,2024-06-10,2024-06-16
10,3298,2024-06-10,2024-06-16
11,3007,2024-06-10,2024-06-16
12,3176,2024-06-10,2024-06-16
13,2978,2024-06-10,2024-06-16
14,3295,2024-06-10,2024-06-16
15,3220,2024-06-10,2024-06-16
16,3033,2024-06-10,2024-06-16
17,4257,2024-06-10,2024-06-16
18,5584,2024-06-10,2024-06-16
19,6518,2024-06-10,2024-06-16
20,4629,2024-06-10,2024-06-16
21,977,2024-06-10,2024-06-16
22,106,2024-06-10,2024-06-16
23,106,2024-06-10,2024-06-16
0,358,2024-06-17,2024-06-23
1,360,2024-06-17,2024-06-23
2,319,2024-06-17,2024-06-23
3,234,2024-06-17,2024-06-23
4,69,2024-06-17,2024-06-23
5,678,2024-06-17,2024-06-23
6,905,2024-06-17,2024-06-23
7,1293,2024-06-17,2024-06-23
8,2344,2024-06-17,2024-06-23
9,2723,2024-06-17,2024-06-23
10,2964,2024-06-17,2024-06-23
11,2533,2024-06-17,2024-06-23
12,2209,2024-06-17,2024-06-23
13,1924,2024-06-17,2024-06-23
14,1910,2024-06-17,2024-06-23
15,1837,2024-06-17,2024-06-23
16,2187,2024-06-17,2024-06-23
17,3661,2024-06-17,2024-06-23
18,5754,2024-06-17,2024-06-23
19,7123,2024-06-17,2024-06-23
20,5502,2024-06-17,2024-06-23
21,1817,2024-06-17,2024-06-23
22,586,2024-06-17,2024-06-23
23,676,2024-06-17,2024-06-23
0,176,2024-06-24,2024-06-30
1,109,2024-06-24,2024-06-30
2,55,2024-06-24,2024-06-30
3,0,2024-06-24,2024-06-30
4,54,2024-06-24,2024-06-30
5,271,2024-06-24,2024-06-30
6,435,2024-06-24,2024-06-30
7,1094,2024-06-24,2024-06-30
8,2655,2024-06-24,2024-06-30
9,3340,2024-06-24,2024-06-30
10,3216,2024-06-24,2024-06-30
11,2789,2024-06-24,2024-06-30
12,2120,2024-06-24,2024-06-30
13,2435,2024-06-24,2024-06-30
14,1935,2024-06-24,2024-06-30
15,2318,2024-06-24,2024-06-30
16,2703,2024-06-24,2024-06-30
