hour,visits,week_start,week_end
0,153,2024-04-01,2024-04-07
1,267,2024-04-01,2024-04-07
2,198,2024-04-01,2024-04-07
3,99,2024-04-01,2024-04-07
4,53,2024-04-01,2024-04-07
5,53,2024-04-01,2024-04-07
6,130,2024-04-01,2024-04-07
7,108,2024-04-01,2024-04-07
8,272,2024-04-01,2024-04-07
9,275,2024-04-01,2024-04-07
10,244,2024-04-01,2024-04-07
11,254,2024-04-01,2024-04-07
12,701,2024-04-01,2024-04-07
13,1008,2024-04-01,2024-04-07
14,1070,2024-04-01,2024-04-07
15,1101,2024-04-01,2024-04-07
16,933,2024-04-01,2024-04-07
17,711,2024-04-01,2024-04-07
18,693,2024-04-01,2024-04-07
19,458,2024-04-01,2024-04-07
20,144,2024-04-01,2024-04-07
21,90,2024-04-01,2024-04-07
22,76,2024-04-01,2024-04-07
23,107,2024-04-01,2024-04-07
0,43,2024-04-08,2024-04-14
1,43,2024-04-08,2024-04-14
2,43,2024-04-08,2024-04-14
3,0,2024-04-08,2024-04-14
4,0,2024-04-08,2024-04-14
5,0,2024-04-08,2024-04-14
6,221,2024-04-08,2024-04-14
7,359,2024-04-08,2024-04-14
8,401,2024-04-08,2024-04-14
9,199,2024-04-08,2024-04-14
10,636,2024-04-08,2024-04-14
11,697,2024-04-08,2024-04-14
12,742,2024-04-08,2024-04-14
13,747,2024-04-08,2024-04-14
14,963,2024-04-08,2024-04-14
15,1173,2024-04-08,2024-04-14
16,1241,2024-04-08,2024-04-14
17,1363,2024-04-08,2024-04-14
18,790,2024-04-08,2024-04-14
19,346,2024-04-08,2024-04-14
20,68,2024-04-08,2024-04-14
21,183,2024-04-08,2024-04-14
22,95,2024-04-08,2024-04-14
23,43,2024-04-08,2024-04-14
0,44,2024-04-15,2024-04-21
1,0,2024-04-15,2024-04-21
2,0,2024-04-15,2024-04-21
3,0,2024-04-15,2024-04-21
4,0,2024-04-15,2024-04-21
5,0,2024-04-15,2024-04-21
6,31,2024-04-15,2024-04-21
7,341,2024-04-15,2024-04-21
8,464,2024-04-15,2024-04-21
9,376,2024-04-15,2024-04-21
10,493,2024-04-15,2024-04-21
11,681,2024-04-15,2024-04-21
12,781,2024-04-15,2024-04-21
13,724,2024-04-15,2024-04-21
14,892,2024-04-15,2024-04-21
15,1354,2024-04-15,2024-04-21
16,1733,2024-04-15,2024-04-21
17,1601,2024-04-15,2024-04-21
18,920,2024-04-15,2024-04-21
19,476,2024-04-15,2024-04-21
20,254,2024-04-15,2024-04-21
21,189,2024-04-15,2024-04-21
22,84,2024-04-15,2024-04-21
23,67,2024-04-15,2024-04-21
0,0,2024-04-22,2024-04-28
1,0,2024-04-22,2024-04-28
2,35,2024-04-22,2024-04-28
3,0,2024-04-22,2024-04-28
4,26,2024-04-22,2024-04-28
5,64,2024-04-22,2024-04-28
6,156,2024-04-22,2024-04-28
7,523,2024-04-22,2024-04-28
8,200,2024-04-22,2024-04-28
9,292,2024-04-22,2024-04-28
10,426,2024-04-22,2024-04-28
11,422,2024-04-22,2024-04-28
12,434,2024-04-22,2024-04-28
13,321,2024-04-22,2024-04-28
14,419,2024-04-22,2024-04-28
15,1194,2024-04-22,2024-04-28
16,1381,2024-04-22,2024-04-28
17,1464,2024-04-22,2024-04-28
18,1235,2024-04-22,2024-04-28
19,300,2024-04-22,2024-04-28
20,295,2024-04-22,2024-04-28
21,74,2024-04-22,2024-04-28
22,0,2024-04-22,2024-04-28
23,0,2024-04-22,2024-04-28
0,34,2024-04-29,2024-05-05
1,34,2024-04-29,2024-05-05
2,0,2024-04-29,2024-05-05
3,19,2024-04-29,2024-05-05
4,0,2024-04-29,2024-05-05
5,0,2024-04-29,2024-05-05
6,92,2024-04-29,2024-05-05
