hour,visits,week_start,week_end
0,0,2024-04-08,2024-04-14
1,32,2024-04-08,2024-04-14
2,32,2024-04-08,2024-04-14
3,32,2024-04-08,2024-04-14
4,0,2024-04-08,2024-04-14
5,0,2024-04-08,2024-04-14
6,150,2024-04-08,2024-04-14
7,209,2024-04-08,2024-04-14
8,337,2024-04-08,2024-04-14
9,500,2024-04-08,2024-04-14
10,490,2024-04-08,2024-04-14
11,609,2024-04-08,2024-04-14
12,617,2024-04-08,2024-04-14
13,580,2024-04-08,2024-04-14
14,480,2024-04-08,2024-04-14
15,1039,2024-04-08,2024-04-14
16,986,2024-04-08,2024-04-14
17,1066,2024-04-08,2024-04-14
18,920,2024-04-08,2024-04-14
19,329,2024-04-08,2024-04-14
20,130,2024-04-08,2024-04-14
21,0,2024-04-08,2024-04-14
22,0,2024-04-08,2024-04-14
23,0,2024-04-08,2024-04-14
0,0,2024-04-15,2024-04-21
1,0,2024-04-15,2024-04-21
2,0,2024-04-15,2024-04-21
3,0,2024-04-15,2024-04-21
4,0,2024-04-15,2024-04-21
5,0,2024-04-15,2024-04-21
6,0,2024-04-15,2024-04-21
7,232,2024-04-15,2024-04-21
8,357,2024-04-15,2024-04-21
9,426,2024-04-15,2024-04-21
10,652,2024-04-15,2024-04-21
11,576,2024-04-15,2024-04-21
12,437,2024-04-15,2024-04-21
13,472,2024-04-15,2024-04-21
14,647,2024-04-15,2024-04-21
15,868,2024-04-15,2024-04-21
16,818,2024-04-15,2024-04-21
17,843,2024-04-15,2024-04-21
18,504,2024-04-15,2024-04-21
19,445,2024-04-15,2024-04-21
20,75,2024-04-15,2024-04-21
21,127,2024-04-15,2024-04-21
22,127,2024-04-15,2024-04-21
23,63,2024-04-15,2024-04-21
0,0,2024-04-22,2024-04-28
1,0,2024-04-22,2024-04-28
2,0,2024-04-22,2024-04-28
3,0,2024-04-22,2024-04-28
4,0,2024-04-22,2024-04-28
5,0,2024-04-22,2024-04-28
6,116,2024-04-22,2024-04-28
