hour,visits,week_start,week_end
0,0,2024-04-01,2024-04-07
1,0,2024-04-01,2024-04-07
2,0,2024-04-01,2024-04-07
3,0,2024-04-01,2024-04-07
4,0,2024-04-01,2024-04-07
5,0,2024-04-01,2024-04-07
6,0,2024-04-01,2024-04-07
7,0,2024-04-01,2024-04-07
8,35,2024-04-01,2024-04-07
9,127,2024-04-01,2024-04-07
10,483,2024-04-01,2024-04-07
11,652,2024-04-01,2024-04-07
12,776,2024-04-01,2024-04-07
13,474,2024-04-01,2024-04-07
14,883,2024-04-01,2024-04-07
15,851,2024-04-01,2024-04-07
16,579,2024-04-01,2024-04-07
17,316,2024-04-01,2024-04-07
18,35,2024-04-01,2024-04-07
19,35,2024-04-01,2024-04-07
20,0,2024-04-01,2024-04-07
21,14,2024-04-01,2024-04-07
22,14,2024-04-01,2024-04-07
23,25,2024-04-01,2024-04-07
0,0,2024-04-08,2024-04-14
1,0,2024-04-08,2024-04-14
2,0,2024-04-08,2024-04-14
3,0,2024-04-08,2024-04-14
4,0,2024-04-08,2024-04-14
5,0,2024-04-08,2024-04-14
6,0,2024-04-08,2024-04-14
7,0,2024-04-08,2024-04-14
8,0,2024-04-08,2024-04-14
9,87,2024-04-08,2024-04-14
10,859,2024-04-08,2024-04-14
11,1384,2024-04-08,2024-04-14
12,1580,2024-04-08,2024-04-14
13,1089,2024-04-08,2024-04-14
14,991,2024-04-08,2024-04-14
15,1064,2024-04-08,2024-04-14
16,799,2024-04-08,2024-04-14
17,131,2024-04-08,2024-04-14
18,165,2024-04-08,2024-04-14
19,34,2024-04-08,2024-04-14
20,0,2024-04-08,2024-04-14
21,0,2024-04-08,2024-04-14
22,0,2024-04-08,2024-04-14
23,0,2024-04-08,2024-04-14
0,0,2024-04-15,2024-04-21
1,0,2024-04-15,2024-04-21
2,0,2024-04-15,2024-04-21
3,0,2024-04-15,2024-04-21
4,0,2024-04-15,2024-04-21
5,0,2024-04-15,2024-04-21
6,0,2024-04-15,2024-04-21
7,0,2024-04-15,2024-04-21
8,0,2024-04-15,2024-04-21
9,190,2024-04-15,2024-04-21
10,948,2024-04-15,2024-04-21
11,1690,2024-04-15,2024-04-21
12,1991,2024-04-15,2024-04-21
13,1026,2024-04-15,2024-04-21
14,829,2024-04-15,2024-04-21
15,668,2024-04-15,2024-04-21
16,463,2024-04-15,2024-04-21
17,244,2024-04-15,2024-04-21
18,109,2024-04-15,2024-04-21
19,54,2024-04-15,2024-04-21
20,25,2024-04-15,2024-04-21
21,25,2024-04-15,2024-04-21
22,25,2024-04-15,2024-04-21
23,0,2024-04-15,2024-04-21
0,0,2024-04-22,2024-04-28
1,0,2024-04-22,2024-04-28
2,0,2024-04-22,2024-04-28
3,0,2024-04-22,2024-04-28
4,0,2024-04-22,2024-04-28
5,0,2024-04-22,2024-04-28
6,0,2024-04-22,2024-04-28
7,25,2024-04-22,2024-04-28
8,25,2024-04-22,2024-04-28
9,89,2024-04-22,2024-04-28
10,1326,2024-04-22,2024-04-28
11,3026,2024-04-22,2024-04-28
12,4454,2024-04-22,2024-04-28
13,4982,2024-04-22,2024-04-28
14,6620,2024-04-22,2024-04-28
15,5564,2024-04-22,2024-04-28
16,2588,2024-04-22,2024-04-28
17,599,2024-04-22,2024-04-28
18,92,2024-04-22,2024-04-28
19,60,2024-04-22,2024-04-28
20,34,2024-04-22,2024-04-28
21,21,2024-04-22,2024-04-28
22,61,2024-04-22,2024-04-28
23,21,2024-04-22,2024-04-28
0,0,2024-04-29,2024-05-05
1,0,2024-04-29,2024-05-05
2,0,2024-04-29,2024-05-05
3,0,2024-04-29,2024-05-05
4,0,2024-04-29,2024-05-05
5,0,2024-04-29,2024-05-05
6,0,2024-04-29,2024-05-05
7,0,2024-04-29,2024-05-05
8,17,2024-04-29,2024-05-05
9,31,2024-04-29,2024-05-05
10,942,2024-04-29,2024-05-05
11,1638,2024-04-29,2024-05-05
12,1901,2024-04-29,2024-05-05
13,1785,2024-04-29,2024-05-05
14,1491,2024-04-29,2024-05-05
15,1675,2024-04-29,2024-05-05
16,1221,2024-04-29,2024-05-05
17,623,2024-04-29,2024-05-05
18,295,2024-04-29,2024-05-05
19,177,2024-04-29,2024-05-05
20,66,2024-04-29,2024-05-05
21,49,2024-04-29,2024-05-05
22,49,2024-04-29,2024-05-05
23,26,2024-04-29,2024-05-05
0,14,2024-05-06,2024-05-12
1,0,2024-05-06,2024-05-12
2,0,2024-05-06,2024-05-12
3,0,2024-05-06,2024-05-12
4,0,2024-05-06,2024-05-12
5,0,2024-05-06,2024-05-12
6,0,2024-05-06,2024-05-12
7,0,2024-05-06,2024-05-12
8,3,2024-05-06,2024-05-12
9,158,2024-05-06,2024-05-12
10,1166,2024-05-06,2024-05-12
11,1823,2024-05-06,2024-05-12
12,1598,2024-05-06,2024-05-12
13,593,2024-05-06,2024-05-12
14,741,2024-05-06,2024-05-12
15,885,2024-05-06,2024-05-12
16,570,2024-05-06,2024-05-12
17,208,2024-05-06,2024-05-12
18,91,2024-05-06,2024-05-12
19,100,2024-05-06,2024-05-12
20,14,2024-05-06,2024-05-12
21,14,2024-05-06,2024-05-12
22,35,2024-05-06,2024-05-12
23,41,2024-05-06,2024-05-12
0,0,2024-05-13,2024-05-19
1,0,2024-05-13,2024-05-19
2,0,2024-05-13,2024-05-19
3,0,2024-05-13,2024-05-19
4,0,2024-05-13,2024-05-19
5,0,2024-05-13,2024-05-19
6,0,2024-05-13,2024-05-19
7,0,2024-05-13,2024-05-19
8,0,2024-05-13,2024-05-19
9,72,2024-05-13,2024-05-19
10,1403,2024-05-13,2024-05-19
11,2367,2024-05-13,2024-05-19
12,2827,2024-05-13,2024-05-19
13,1602,2024-05-13,2024-05-19
14,1319,2024-05-13,2024-05-19
15,1018,2024-05-13,2024-05-19
16,773,2024-05-13,2024-05-19
17,416,2024-05-13,2024-05-19
18,140,2024-05-13,2024-05-19
19,109,2024-05-13,2024-05-19
20,71,2024-05-13,2024-05-19
21,55,2024-05-13,2024-05-19
22,0,2024-05-13,2024-05-19
23,0,2024-05-13,2024-05-19
0,0,2024-05-20,2024-05-26
1,0,2024-05-20,2024-05-26
2,0,2024-05-20,2024-05-26
3,0,2024-05-20,2024-05-26
4,0,2024-05-20,2024-05-26
5,0,2024-05-20,2024-05-26
6,0,2024-05-20,2024-05-26
7,30,2024-05-20,2024-05-26
8,33,2024-05-20,2024-05-26
9,401,2024-05-20,2024-05-26
10,2779,2024-05-20,2024-05-26
11,3839,2024-05-20,2024-05-26
12,3239,2024-05-20,2024-05-26
13,1594,2024-05-20,2024-05-26
14,1442,2024-05-20,2024-05-26
15,1232,2024-05-20,2024-05-26
16,847,2024-05-20,2024-05-26
17,464,2024-05-20,2024-05-26
18,120,2024-05-20,2024-05-26
19,26,2024-05-20,2024-05-26
20,0,2024-05-20,2024-05-26
21,0,2024-05-20,2024-05-26
22,0,2024-05-20,2024-05-26
23,0,2024-05-20,2024-05-26
0,9,2024-05-27,2024-06-02
1,0,2024-05-27,2024-06-02
2,0,2024-05-27,2024-06-02
3,0,2024-05-27,2024-06-02
4,0,2024-05-27,2024-06-02
5,0,2024-05-27,2024-06-02
6,0,2024-05-27,2024-06-02
7,0,2024-05-27,2024-06-02
8,59,2024-05-27,2024-06-02
9,110,2024-05-27,2024-06-02
10,1612,2024-05-27,2024-06-02
11,2810,2024-05-27,2024-06-02
12,2827,2024-05-27,2024-06-02
13,1632,2024-05-27,2024-06-02
14,1447,2024-05-27,2024-06-02
15,1249,2024-05-27,2024-06-02
16,910,2024-05-27,2024-06-02
17,239,2024-05-27,2024-06-02
18,98,2024-05-27,2024-06-02
19,290,2024-05-27,2024-06-02
20,178,2024-05-27,2024-06-02
21,65,2024-05-27,2024-06-02
22,48,2024-05-27,2024-06-02
23,9,2024-05-27,2024-06-02
0,38,2024-06-03,2024-06-09
1,0,2024-06-03,2024-06-09
2,0,2024-06-03,2024-06-09
3,0,2024-06-03,2024-06-09
4,0,2024-06-03,2024-06-09
5,0,2024-06-03,2024-06-09
6,0,2024-06-03,2024-06-09
7,0,2024-06-03,2024-06-09
8,0,2024-06-03,2024-06-09
9,146,2024-06-03,2024-06-09
10,1297,2024-06-03,2024-06-09
11,1852,2024-06-03,2024-06-09
12,1922,2024-06-03,2024-06-09
13,1579,2024-06-03,2024-06-09
14,1577,2024-06-03,2024-06-09
15,1489,2024-06-03,2024-06-09
16,939,2024-06-03,2024-06-09
17,415,2024-06-03,2024-06-09
18,86,2024-06-03,2024-06-09
19,44,2024-06-03,2024-06-09
20,190,2024-06-03,2024-06-09
21,159,2024-06-03,2024-06-09
22,70,2024-06-03,2024-06-09
23,46,2024-06-03,2024-06-09
0,0,2024-06-10,2024-06-16
1,0,2024-06-10,2024-06-16
2,0,2024-06-10,2024-06-16
3,0,2024-06-10,2024-06-16
4,0,2024-06-10,2024-06-16
5,0,2024-06-10,2024-06-16
6,0,2024-06-10,2024-06-16
7,15,2024-06-10,2024-06-16
8,97,2024-06-10,2024-06-16
9,255,2024-06-10,2024-06-16
10,1727,2024-06-10,2024-06-16
11,2688,2024-06-10,2024-06-16
12,2704,2024-06-10,2024-06-16
13,2042,2024-06-10,2024-06-16
14,1826,2024-06-10,2024-06-16
15,1325,2024-06-10,2024-06-16
16,834,2024-06-10,2024-06-16
17,403,2024-06-10,2024-06-16
18,14,2024-06-10,2024-06-16
19,5,2024-06-10,2024-06-16
20,5,2024-06-10,2024-06-16
21,84,2024-06-10,2024-06-16
22,0,2024-06-10,2024-06-16
23,0,2024-06-10,2024-06-16
0,0,2024-06-17,2024-06-23
1,0,2024-06-17,2024-06-23
2,0,2024-06-17,2024-06-23
3,0,2024-06-17,2024-06-23
4,0,2024-06-17,2024-06-23
5,0,2024-06-17,2024-06-23
6,0,2024-06-17,2024-06-23
7,0,2024-06-17,2024-06-23
8,20,2024-06-17,2024-06-23
9,186,2024-06-17,2024-06-23
10,785,2024-06-17,2024-06-23
11,1167,2024-06-17,2024-06-23
12,1690,2024-06-17,2024-06-23
13,1338,2024-06-17,2024-06-23
14,1248,2024-06-17,2024-06-23
15,1017,2024-06-17,2024-06-23
16,671,2024-06-17,2024-06-23
17,403,2024-06-17,2024-06-23
18,161,2024-06-17,2024-06-23
19,84,2024-06-17,2024-06-23
20,135,2024-06-17,2024-06-23
21,50,2024-06-17,2024-06-23
22,32,2024-06-17,2024-06-23
23,0,2024-06-17,2024-06-23
0,0,2024-06-24,2024-06-30
1,0,2024-06-24,2024-06-30
2,0,2024-06-24,2024-06-30
3,0,2024-06-24,2024-06-30
4,0,2024-06-24,2024-06-30
5,0,2024-06-24,2024-06-30
6,0,2024-06-24,2024-06-30
7,0,2024-06-24,2024-06-30
8,41,2024-06-24,2024-06-30
9,41,2024-06-24,2024-06-30
10,463,2024-06-24,2024-06-30
11,1022,2024-06-24,2024-06-30
12,1328,2024-06-24,2024-06-30
13,1431,2024-06-24,2024-06-30
14,1567,2024-06-24,2024-06-30
15,1729,2024-06-24,2024-06-30
16,1205,2024-06-24,2024-06-30
17,344,2024-06-24,2024-06-30
18,30,2024-06-24,2024-06-30
19,31,2024-06-24,2024-06-30
20,39,2024-06-24,2024-06-30
21,39,2024-06-24,2024-06-30
22,0,2024-06-24,2024-06-30
