Date,Time,Temperature(F),Humidity(%),HI,Category,Condition,Windy
2024/4/1,0,52,49,52,Cooler Days,Mostly Cloudy,0
2024/4/1,1,53,43,53,Cooler Days,Mostly Cloudy,0
2024/4/1,2,50,54,50,Cooler Days,Mostly Cloudy,0
2024/4/1,3,50,59,50,Cooler Days,Cloudy,0
2024/4/1,4,49,59,49,Cooler Days,Cloudy,0
2024/4/1,5,48,63,48,Cooler Days,Cloudy,0
2024/4/1,6,47,63,47,Cooler Days,Cloudy,0
2024/4/1,7,47,63,47,Cooler Days,Cloudy,0
2024/4/1,8,48,61,48,Cooler Days,Cloudy,0
2024/4/1,9,48,61,48,Cooler Days,Light Rain,0
2024/4/1,10,48,63,48,Cooler Days,Light Rain,0
2024/4/1,11,47,66,47,Cooler Days,Light Rain,0
2024/4/1,12,49,61,49,Cooler Days,Cloudy,0
2024/4/1,13,48,58,48,Cooler Days,Cloudy,0
2024/4/1,14,48,56,48,Cooler Days,Cloudy,0
2024/4/1,15,51,50,51,Cooler Days,Cloudy,0
2024/4/1,16,52,47,52,Cooler Days,Cloudy,0
2024/4/1,17,53,43,53,Cooler Days,Cloudy,0
2024/4/1,18,53,48,53,Cooler Days,Mostly Cloudy,0
2024/4/1,19,52,49,52,Cooler Days,Mostly Cloudy,0
2024/4/1,20,52,53,52,Cooler Days,Mostly Cloudy,0
2024/4/1,21,52,54,52,Cooler Days,Mostly Cloudy,0
2024/4/1,22,50,59,50,Cooler Days,Partly Cloudy,0
2024/4/1,23,50,66,50,Cooler Days,Mostly Cloudy,0
2024/4/2,0,49,71,49,Cooler Days,Mostly Cloudy,0
2024/4/2,1,49,74,49,Cooler Days,Mostly Cloudy,0
2024/4/2,2,47,80,47,Cooler Days,Cloudy,0
2024/4/2,3,47,83,47,Cooler Days,Cloudy,0
2024/4/2,4,46,83,46,Cooler Days,Cloudy,0
2024/4/2,5,45,80,45,Cooler Days,Cloudy,0
2024/4/2,6,45,80,45,Cooler Days,Light Rain,0
2024/4/2,7,46,76,46,Cooler Days,Light Rain,0
2024/4/2,8,47,77,47,Cooler Days,Light Rain,0
